(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(4)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(452)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(453)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(455)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(457)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(458)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(461)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(464)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(466)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(467)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(470)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(471)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(473)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(476)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(479)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(481)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(484)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(486)), {C=0.0013171759747102212, S=0.0009726680284019065}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(487)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(488)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(489)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(492)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(493)), {C=0.0013171759747102212, S=0.0009726680284019065}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(494)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(495)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(498)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(499)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(500)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(501)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(504)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(505)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(508)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(509)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(512)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(513)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(514)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(517)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(518)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(519)), {C=0.0013171759747102212, S=0.0009726680284019065}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(520)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(523)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(524)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(525)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(526)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(527)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(529)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(532)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(534)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(535)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(536)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(538)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(539)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(542)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(543)), {C=0.0013171759747102212, S=0.0009726680284019065}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(546)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(547)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(549)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(550)), {C=0.0013171759747102212, S=0.0009726680284019065}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(551)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(553)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(554)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(557)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(558)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(559)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(560)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(562)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(563)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(564)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(566)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(567)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(569)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(570)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(572)), {C=0.0014488935721812435, S=0.001069934831242097}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(574)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(584)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(585)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(589)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(590)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(591)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(593)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(595)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(596)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(599)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(600)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(601)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(602)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(603)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(605)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(606)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(607)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(608)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(610)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(615)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(616)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(617)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(622)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(623)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(626)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(627)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(629)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(630)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(638)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(639)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(641)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(642)), {C=0.0014488935721812435, S=0.001069934831242097}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(643)), {C=0.0013171759747102212, S=0.0009726680284019065}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(644)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(645)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(646)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(648)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(650)), {C=0.0013171759747102212, S=0.0009726680284019065}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(651)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(653)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(656)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(658)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(660)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(662)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(663)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(664)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(668)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(673)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(674)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(676)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(677)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(681)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(683)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(686)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(687)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(688)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(689)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(691)), {C=0.0013171759747102212, S=0.0009726680284019065}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(694)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(695)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(703)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(706)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(712)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(718)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(719)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(720)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(722)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(724)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(727)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(729)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(730)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(734)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(745)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(746)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(749)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(751)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(755)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(757)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(759)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(764)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(765)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(766)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(767)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(770)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(772)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(774)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(775)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(776)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(777)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(778)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(780)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(784)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(786)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(787)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(788)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(789)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(791)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(795)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(797)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(799)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(800)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(801)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(803)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(805)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(807)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(809)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(812)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(813)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(814)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(819)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(821)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(826)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(827)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(829)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(830)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(831)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(837)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(839)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(845)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(846)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(847)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(849)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(850)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(851)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(852)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(854)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(855)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(856)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(857)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(859)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(860)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(862)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(863)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(865)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(872)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(874)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(875)), {C=0.0015806111696522655, S=0.0011672016340822876}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(876)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(878)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(880)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(881)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(883)), {C=0.0015806111696522655, S=0.0011672016340822876}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(884)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(887)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(888)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(892)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(894)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(895)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(896)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(897)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(898)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(900)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(901)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(902)), {C=0.0009220231822971548, S=0.0006808676198813345}
