(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(6)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1309)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1310)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1320)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1324)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1325)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1332)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1337)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1346)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1347)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1358)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1359)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1368)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1376)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1377)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1379)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1383)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1390)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1396)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1405)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1406)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1416)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1417)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1418)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1422)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1424)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1428)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1432)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1433)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1436)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1442)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1446)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1447)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1458)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1462)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1466)), {C=0.0009338158048324968, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1470)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1471)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1486)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1488)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1491)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1494)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1505)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1507)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1514)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1519)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1521)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1522)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1526)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1531)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1536)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1555)), {C=0.0005836348780203105, S=0.00048633401420095323}
