(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(2)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1282)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1295)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1312)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1313)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1321)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1330)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1335)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1340)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1350)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1351)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1362)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1363)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1364)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1371)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1374)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1378)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1383)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1384)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1387)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1393)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1403)), {C=0.0009786863853849502, S=0.0008754012255617158}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1406)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1407)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1411)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1416)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1422)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1425)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1428)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1438)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1439)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1445)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1449)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1458)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1470)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1475)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1485)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1487)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1488)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1491)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1493)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1524)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1526)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1530)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1535)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1542)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1546)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1556)), {C=0.0005437146585471945, S=0.00048633401420095323}
