(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(3)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(453)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(455)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(456)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(460)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(462)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(463)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(464)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(466)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(467)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(468)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(472)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(475)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(477)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(478)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(481)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(482)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(486)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(488)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(491)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(493)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(495)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(496)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(497)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(498)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(499)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(502)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(503)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(504)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(505)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(506)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(508)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(512)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(513)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(514)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(517)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(518)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(519)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(520)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(521)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(522)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(523)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(524)), {C=0.0012098548174219095, S=0.001069934831242097}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(527)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(528)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(529)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(530)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(531)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(536)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(537)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(539)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(540)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(541)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(543)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(544)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(547)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(548)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(549)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(552)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(554)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(555)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(557)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(558)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(560)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(561)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(563)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(566)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(567)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(570)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(572)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(573)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(574)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(576)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(578)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(579)), {C=0.0012098548174219095, S=0.001069934831242097}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(581)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(584)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(587)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(588)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(591)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(593)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(594)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(603)), {C=0.0012098548174219095, S=0.001069934831242097}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(604)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(605)), {C=0.0013198416190057193, S=0.0011672016340822876}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(607)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(609)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(610)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(613)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(614)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(615)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(617)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(622)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(626)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(629)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(630)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(631)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(632)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(633)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(634)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(636)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(638)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(639)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(640)), {C=0.0013198416190057193, S=0.0011672016340822876}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(641)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(645)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(647)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(648)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(650)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(652)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(653)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(655)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(656)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(660)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(661)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(662)), {C=0.0012098548174219095, S=0.001069934831242097}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(663)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(666)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(668)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(670)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(673)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(675)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(677)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(679)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(680)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(683)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(685)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(686)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(689)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(690)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(691)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(692)), {C=0.0012098548174219095, S=0.001069934831242097}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(695)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(696)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(697)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(704)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(707)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(709)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(712)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(713)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(714)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(715)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(716)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(719)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(721)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(722)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(723)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(725)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(728)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(729)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(732)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(737)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(745)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(746)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(748)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(749)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(763)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(765)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(767)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(769)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(770)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(777)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(778)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(782)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(783)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(784)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(786)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(787)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(788)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(789)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(790)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(791)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(794)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(797)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(800)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(806)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(810)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(811)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(812)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(815)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(816)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(817)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(819)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(822)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(823)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(824)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(825)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(826)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(829)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(830)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(832)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(833)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(834)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(835)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(836)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(837)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(838)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(839)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(840)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(841)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(842)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(844)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(845)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(846)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(848)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(850)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(855)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(856)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(860)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(861)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(862)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(863)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(864)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(866)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(867)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(869)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(870)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(871)), {C=0.0008798944126704796, S=0.0007781344227215252}
