(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(2)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(388)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(389)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(390)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(391)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(392)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(393)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(394)), {C=0.002150537634408602, S=0.001945336056803813}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(395)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(396)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(397)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(398)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(399)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(400)), {C=0.0016129032258064516, S=0.0014590020426028597}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(401)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(402)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(403)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(404)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(405)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(406)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(407)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(409)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(410)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(411)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(412)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(413)), {C=0.0015053763440860213, S=0.001361735239762669}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(414)), {C=0.0018279569892473118, S=0.001653535648283241}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(415)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(416)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(417)), {C=0.0016129032258064516, S=0.0014590020426028597}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(418)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(419)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(420)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(421)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(422)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(423)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(424)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(425)), {C=0.0017204301075268817, S=0.0015562688454430504}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(426)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(427)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(428)), {C=0.0016129032258064516, S=0.0014590020426028597}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(429)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(430)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(431)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(432)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(433)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(434)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(435)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(436)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(437)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(438)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(439)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(440)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(441)), {C=0.0017204301075268817, S=0.0015562688454430504}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(442)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(443)), {C=0.002043010752688172, S=0.0018480692539636222}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(444)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(445)), {C=0.0017204301075268817, S=0.0015562688454430504}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(446)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(447)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(448)), {C=0.0015053763440860213, S=0.001361735239762669}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(449)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(450)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(451)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(452)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(453)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(454)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(455)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(456)), {C=0.002043010752688172, S=0.0018480692539636222}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(457)), {C=0.0015053763440860213, S=0.001361735239762669}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(458)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(459)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(460)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(461)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(462)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(463)), {C=0.0015053763440860213, S=0.001361735239762669}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(464)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(465)), {C=0.0018279569892473118, S=0.001653535648283241}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(466)), {C=0.0017204301075268817, S=0.0015562688454430504}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(467)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(468)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(469)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(470)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(471)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(472)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(473)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(475)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(476)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(477)), {C=0.0017204301075268817, S=0.0015562688454430504}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(478)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(479)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(480)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(481)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(482)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(483)), {C=0.001935483870967742, S=0.0017508024511234317}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(484)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(485)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(486)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(487)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(488)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(489)), {C=0.0018279569892473118, S=0.001653535648283241}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(490)), {C=0.0018279569892473118, S=0.001653535648283241}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(491)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(492)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(493)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(494)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(495)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(496)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(497)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(498)), {C=0.0015053763440860213, S=0.001361735239762669}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(499)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(500)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(501)), {C=0.0017204301075268817, S=0.0015562688454430504}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(502)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(503)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(504)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(505)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(506)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(507)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(508)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(509)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(510)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(511)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(512)), {C=0.0005376344086021505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(513)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(514)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(515)), {C=0.0005376344086021505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(516)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(517)), {C=0.0016129032258064516, S=0.0014590020426028597}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(518)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(521)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(522)), {C=0.0017204301075268817, S=0.0015562688454430504}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(523)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(524)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(525)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(526)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(527)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(528)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(529)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(530)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(531)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(532)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(533)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(534)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(535)), {C=0.002043010752688172, S=0.0018480692539636222}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(536)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(537)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(538)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(539)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(540)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(541)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(543)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(544)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(545)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(546)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(547)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(548)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(549)), {C=0.0018279569892473118, S=0.001653535648283241}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(550)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(551)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(552)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(553)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(554)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(555)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(556)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(557)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(558)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(559)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(560)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(561)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(562)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(563)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(564)), {C=0.0005376344086021505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(565)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(566)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(567)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(568)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(569)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(570)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(571)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(572)), {C=0.0016129032258064516, S=0.0014590020426028597}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(573)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(574)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(575)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(576)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(577)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(578)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(580)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(581)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(582)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(583)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(584)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(585)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(586)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(587)), {C=0.0005376344086021505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(588)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(589)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(590)), {C=0.0015053763440860213, S=0.001361735239762669}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(591)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(592)), {C=0.0005376344086021505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(593)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(594)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(595)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(596)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(597)), {C=0.0015053763440860213, S=0.001361735239762669}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(599)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(600)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(601)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(602)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(603)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(604)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(605)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(606)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(607)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(608)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(609)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(610)), {C=0.0011827956989247312, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(611)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(612)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(613)), {C=0.0008602150537634409, S=0.0007781344227215252}
