(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(3)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(456)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(460)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(463)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(466)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(467)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(468)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(469)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(470)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(475)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(477)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(478)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(480)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(482)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(484)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(486)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(488)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(491)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(493)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(494)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(497)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(502)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(503)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(505)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(507)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(508)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(513)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(514)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(516)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(519)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(520)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(523)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(524)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(525)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(526)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(528)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(529)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(530)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(535)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(536)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(538)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(539)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(542)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(544)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(548)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(549)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(552)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(553)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(554)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(559)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(561)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(563)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(564)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(565)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(566)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(567)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(572)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(573)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(574)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(575)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(576)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(578)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(579)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(584)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(589)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(590)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(591)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(593)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(594)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(597)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(599)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(603)), {C=0.0010790978741771879, S=0.0009726680284019065}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(605)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(606)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(607)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(609)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(610)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(613)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(620)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(624)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(627)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(629)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(630)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(635)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(640)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(641)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(645)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(648)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(651)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(652)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(655)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(658)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(662)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(663)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(664)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(666)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(668)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(669)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(673)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(680)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(683)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(685)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(686)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(689)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(690)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(692)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(693)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(694)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(695)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(696)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(699)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(705)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(718)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(724)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(725)), {C=0.0011870076615949066, S=0.001069934831242097}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(726)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(728)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(729)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(731)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(733)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(745)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(746)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(749)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(751)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(752)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(760)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(763)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(765)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(768)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(769)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(772)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(773)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(774)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(778)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(781)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(782)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(784)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(786)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(787)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(788)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(791)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(796)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(797)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(798)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(800)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(801)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(802)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(803)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(806)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(812)), {C=0.0010790978741771879, S=0.0009726680284019065}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(813)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(814)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(818)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(821)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(822)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.0011870076615949066, S=0.001069934831242097}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(827)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(829)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(830)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(832)), {C=0.0010790978741771879, S=0.0009726680284019065}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(835)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(837)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(838)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(839)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(847)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(848)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(849)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(855)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(856)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(857)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(858)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(861)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(862)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(863)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(864)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(865)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(867)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(868)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(869)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(871)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(873)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(874)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(877)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(881)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(883)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(885)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(886)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(888)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(890)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(891)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(892)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(894)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(897)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(898)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(900)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(901)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(902)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(908)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(910)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(911)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(916)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(919)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(924)), {C=0.0008632782993417504, S=0.0007781344227215252}
