(gender(Male))(member card(Golden)) --> (buy(8)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(937)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(938)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(939)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(942)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(943)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(945)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(946)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(950)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(951)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(952)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(953)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(956)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(958)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(959)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(960)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(965)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(968)), {C=0.0015595217466643563, S=0.0008754012255617158}
(gender(Male))(member card(Golden)) --> (buy(970)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(971)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(977)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(978)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(979)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(980)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(981)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(983)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(984)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(985)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(987)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(992)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(993)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(995)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1001)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1003)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1013)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1014)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1017)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1025)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1026)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1030)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1034)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1037)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(1041)), {C=0.0019060821348119911, S=0.001069934831242097}
(gender(Male))(member card(Golden)) --> (buy(1042)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1045)), {C=0.0015595217466643563, S=0.0008754012255617158}
(gender(Male))(member card(Golden)) --> (buy(1048)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1049)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1053)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1055)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1057)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1058)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(1059)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1063)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1064)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1065)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1068)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(1069)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1073)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1076)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1079)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1080)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1087)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1093)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1097)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1098)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1100)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(1103)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1111)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1112)), {C=0.0015595217466643563, S=0.0008754012255617158}
(gender(Male))(member card(Golden)) --> (buy(1118)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1119)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1124)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1126)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1136)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1143)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1146)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1150)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(1154)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(1155)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1156)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(1160)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1167)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1171)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1175)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1176)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1186)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1187)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1191)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1194)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1195)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1200)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1201)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1203)), {C=0.0019060821348119911, S=0.001069934831242097}
(gender(Male))(member card(Golden)) --> (buy(1204)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1211)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1212)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(1213)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1220)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(1235)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1236)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1242)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1245)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(1250)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1259)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1263)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1265)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1272)), {C=0.0015595217466643563, S=0.0008754012255617158}
(gender(Male))(member card(Golden)) --> (buy(1281)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(1287)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1291)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1294)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(1300)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1301)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(1305)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1317)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1320)), {C=0.0015595217466643563, S=0.0008754012255617158}
(gender(Male))(member card(Golden)) --> (buy(1321)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1322)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1324)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1327)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1334)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1342)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1343)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1348)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1351)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1354)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1356)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1357)), {C=0.0015595217466643563, S=0.0008754012255617158}
(gender(Male))(member card(Golden)) --> (buy(1361)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1362)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1366)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1368)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1369)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1373)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1377)), {C=0.0015595217466643563, S=0.0008754012255617158}
(gender(Male))(member card(Golden)) --> (buy(1378)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1379)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1380)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1381)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1390)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1394)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1395)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1397)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1398)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(1400)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1409)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(1411)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1418)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1419)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1421)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1424)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1429)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1431)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1435)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1436)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1437)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1441)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1443)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1444)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1446)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1447)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1448)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(1452)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1453)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1454)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1455)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1456)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1457)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1461)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1469)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1470)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1471)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(1477)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1479)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1480)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1482)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1483)), {C=0.0015595217466643563, S=0.0008754012255617158}
(gender(Male))(member card(Golden)) --> (buy(1490)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1492)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1493)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1496)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(1501)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1505)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1515)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1520)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1530)), {C=0.0015595217466643563, S=0.0008754012255617158}
(gender(Male))(member card(Golden)) --> (buy(1531)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1532)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1538)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1540)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(1543)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(1544)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1545)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1546)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1547)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(1549)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(1550)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1552)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(1553)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(1554)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(1556)), {C=0.0012129613585167215, S=0.0006808676198813345}
