(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(2)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(959)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(960)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(968)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(976)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(978)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(982)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(984)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(989)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(990)), {C=0.00099770527786092, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(994)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(999)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1001)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1002)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1006)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1011)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1015)), {C=0.000897934750074828, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1018)), {C=0.000897934750074828, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1020)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1024)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1032)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1036)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1044)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1047)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1048)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1063)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1072)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1079)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1083)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1087)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1092)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1100)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1112)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1127)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1141)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1142)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1149)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1154)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1155)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1160)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1165)), {C=0.000798164222288736, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1166)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1174)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1176)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1182)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1183)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1184)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1190)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1199)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1200)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1206)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1207)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1210)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1213)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1221)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1222)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1235)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1239)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1244)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1247)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1256)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1257)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1259)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1261)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1271)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1283)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1297)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1299)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1303)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1325)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1334)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1338)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1341)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1342)), {C=0.000897934750074828, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1344)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1353)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1356)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1361)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1362)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1367)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1371)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1378)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1382)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1387)), {C=0.000798164222288736, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1388)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1392)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1398)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1402)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1406)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1409)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1414)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1415)), {C=0.000798164222288736, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1416)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1421)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1429)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1432)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1435)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1438)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1442)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1448)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.00099770527786092, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1453)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1454)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1455)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1458)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1459)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1463)), {C=0.000798164222288736, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1464)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1467)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1470)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1473)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1475)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1479)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1494)), {C=0.000798164222288736, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1495)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1496)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1499)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1504)), {C=0.000798164222288736, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1519)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1522)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1526)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1533)), {C=0.000897934750074828, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1538)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1543)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1546)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1552)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1555)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1556)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1558)), {C=0.00049885263893046, S=0.00048633401420095323}
