(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(17)), {C=0.0007226179415711777, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(609)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(622)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(629)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(642)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(645)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(660)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(668)), {C=0.0007226179415711777, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(670)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(673)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(683)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(774)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(778)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(805)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(836)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(837)), {C=0.0009290802105915144, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(850)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(862)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(863)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(880)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(891)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(910)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(917)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(920)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(928)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(956)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(969)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(990)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(995)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1011)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1012)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1045)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1053)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1063)), {C=0.0008258490760813461, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1084)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1187)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1204)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1213)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1235)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1239)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1266)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1267)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1279)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1280)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1302)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1309)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1344)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1349)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1357)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1358)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1363)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1366)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1400)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1402)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1407)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1421)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1432)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1438)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1452)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1458)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1467)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1483)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1485)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1500)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1520)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1525)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1530)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1533)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1534)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1554)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(17)), {C=0.0007226179415711777, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(36)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(40)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(64)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(86)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(119)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(133)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(135)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(148)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(158)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(160)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(163)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(174)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(195)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(221)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(225)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(232)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(244)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(258)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(278)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(289)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(301)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(307)), {C=0.0008258490760813461, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(333)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(340)), {C=0.0007226179415711777, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(352)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(353)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(383)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(390)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(393)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(394)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(410)), {C=0.0007226179415711777, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(413)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(424)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(442)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(443)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(446)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(448)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(450)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(463)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(473)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(478)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(483)), {C=0.0007226179415711777, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(497)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(499)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(529)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(559)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(568)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(581)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(585)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(590)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(599)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(608)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(609)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(622)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(629)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(642)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(645)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(660)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(668)), {C=0.0007226179415711777, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(670)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(673)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(683)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(774)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(778)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(805)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(836)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(837)), {C=0.0009290802105915144, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(850)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(862)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(863)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(880)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(891)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(910)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(917)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(920)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(928)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(956)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(969)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(990)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(995)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1011)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1012)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1045)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1053)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1063)), {C=0.0008258490760813461, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1084)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1187)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1204)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1213)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1235)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1239)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1266)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1267)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1279)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1280)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1302)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1309)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1344)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1349)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1357)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1358)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1363)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1366)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1400)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1402)), {C=0.0005161556725508413, S=0.00048633401420095323}
