(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(13)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1061)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1101)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1104)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1107)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1160)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1198)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1207)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1224)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1243)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1254)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1275)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1381)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1391)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1518)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1527)), {C=0.0005353319057815846, S=0.00048633401420095323}
