(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(6)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(569)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(570)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(572)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(574)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(576)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(579)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(580)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(582)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(583)), {C=0.0011917530687641522, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.0011917530687641522, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(587)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(588)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(590)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(592)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0013109283756405673, S=0.001069934831242097}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(598)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(608)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(609)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(611)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(617)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(618)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(620)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(622)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(626)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(627)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(628)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(630)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(633)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(634)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(637)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(641)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(645)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(648)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(659)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(665)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(666)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(676)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(681)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(682)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(687)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(690)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(692)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(693)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(695)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(696)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(698)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(699)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(703)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(705)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(707)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(711)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(712)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(718)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(719)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(728)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(732)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0010725777618877368, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(736)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(738)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(739)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(744)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(745)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(748)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(759)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(761)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(764)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(768)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(774)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(777)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(780)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(781)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(782)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(790)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(792)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(795)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(797)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(800)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(803)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(805)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(809)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(812)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(813)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(819)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(820)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(822)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(823)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(824)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(828)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(829)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(830)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(831)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(832)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(833)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(836)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(840)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(841)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(843)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(844)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(847)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(848)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(850)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(853)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(854)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(855)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(858)), {C=0.0014301036825169824, S=0.0011672016340822876}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(859)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(864)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(869)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(872)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(879)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(881)), {C=0.0010725777618877368, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(888)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(894)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(896)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(898)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(899)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(901)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(902)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(907)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(908)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(909)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(913)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(914)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(915)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(916)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(919)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(921)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(925)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(926)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(928)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(929)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(931)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(935)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(941)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(946)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(947)), {C=0.0011917530687641522, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(950)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(951)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(952)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(953)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(956)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(957)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(963)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(964)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(967)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(969)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(971)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(973)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(974)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(975)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(979)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(983)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(986)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(987)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(990)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(991)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(992)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(993)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(996)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(997)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(999)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1003)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1004)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1007)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1008)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1010)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1015)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1016)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1018)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1019)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1020)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1022)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1023)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1026)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1030)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1035)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1036)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1038)), {C=0.0007150518412584912, S=0.0005836008170411438}
