(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(2)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(373)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(374)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(375)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(376)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(377)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(378)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(379)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(380)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(382)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(383)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(384)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(385)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(387)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(388)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(389)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(390)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(392)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(393)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(395)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(396)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(397)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(398)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(399)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(403)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(404)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(406)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(407)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(409)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(410)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(411)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(412)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(413)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(414)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(415)), {C=0.0015979081929110984, S=0.001069934831242097}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(416)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(417)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(421)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(422)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(424)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(426)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(427)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(428)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(429)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(432)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(434)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(435)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(436)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(437)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(438)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(440)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(443)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(444)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(445)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(446)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(447)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(448)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(451)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(452)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(453)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(455)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(456)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(457)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(458)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(461)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(462)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(464)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(466)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(467)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(469)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(474)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(476)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(477)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(478)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(481)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(482)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(484)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(486)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(487)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(489)), {C=0.0015979081929110984, S=0.001069934831242097}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(493)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(495)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(498)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(499)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(502)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(504)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(505)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(507)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(509)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(510)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(511)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(513)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(514)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(515)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(517)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(518)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(519)), {C=0.0018884369552585709, S=0.0012644684369224784}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(522)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(523)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(524)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(527)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(528)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(529)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(530)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(531)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(532)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(533)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(534)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(535)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(536)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(537)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(539)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(541)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(542)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(543)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(544)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(546)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(547)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(549)), {C=0.0020337013364323067, S=0.001361735239762669}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(553)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(554)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(556)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(557)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(558)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(559)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(564)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(566)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(570)), {C=0.0017431725740848344, S=0.0011672016340822876}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(572)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(573)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(574)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(576)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(578)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(579)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(580)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(583)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(584)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(585)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(587)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(590)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(591)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(593)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(598)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(600)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(601)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(603)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(605)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(607)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(608)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(610)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(611)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(614)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(615)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(617)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(618)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(623)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(626)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(627)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(629)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(633)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(634)), {C=0.0017431725740848344, S=0.0011672016340822876}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(638)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(639)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(642)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(644)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(645)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(648)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(650)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(651)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(656)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(657)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(659)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(662)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(663)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(664)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(666)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(667)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(668)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(670)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(671)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(675)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(676)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(681)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(685)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(686)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(687)), {C=0.0010168506682161533, S=0.0006808676198813345}
