(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(4)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1159)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1167)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1169)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1177)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1184)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1188)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1192)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1195)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1198)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1202)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1204)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1206)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1207)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1209)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1212)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1219)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1223)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1224)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1227)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1230)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1234)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1236)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1239)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1242)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1248)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1254)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1265)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1272)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1274)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1276)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1277)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1297)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1310)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1314)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1316)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1320)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1326)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1327)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1332)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1337)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1339)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1341)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1349)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1357)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1363)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1374)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1390)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1397)), {C=0.0008270443502532824, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1401)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1403)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1406)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1408)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1410)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1413)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1415)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1416)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1419)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1422)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1429)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1434)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1437)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1447)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1459)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1461)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1464)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1470)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1483)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1487)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1489)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1493)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1498)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1507)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1512)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1518)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1520)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1525)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1528)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1530)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1534)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1545)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1553)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1554)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(1558)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(4)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(21)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(26)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(35)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(36)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(41)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(48)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(56)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(59)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(76)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(86)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(107)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(108)), {C=0.0009304248940349427, S=0.0008754012255617158}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(111)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(115)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(123)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(124)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(131)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(136)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(142)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(149)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(151)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(156)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(162)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(163)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(180)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(185)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(190)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(195)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(198)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(201)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(202)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(212)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(220)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(225)), {C=0.0008270443502532824, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(227)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(236)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(244)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(265)), {C=0.0008270443502532824, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(269)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(271)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(274)), {C=0.0008270443502532824, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(280)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(293)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(298)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(304)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(311)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(312)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(322)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(328)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(329)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(333)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(334)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(338)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(341)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(343)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(351)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(356)), {C=0.0008270443502532824, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(358)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(359)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(366)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(368)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(375)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(384)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(386)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(394)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(420)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(421)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(422)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(423)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(426)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(428)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(432)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(438)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(439)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(440)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(441)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(443)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(448)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(456)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(458)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(465)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(469)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(472)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(475)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(479)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(480)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(485)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(493)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(499)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(502)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(520)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(529)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(542)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(562)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(576)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(592)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(599)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(602)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(608)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(609)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(614)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(616)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(619)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(623)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(629)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(632)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(638)), {C=0.0006202832626899617, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(639)), {C=0.000723663806471622, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(642)), {C=0.0008270443502532824, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(649)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(654)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(657)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(658)), {C=0.0005169027189083015, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(marital_status(S)) --> (buy(659)), {C=0.0005169027189083015, S=0.00048633401420095323}
