(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(11)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(975)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(977)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(988)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(997)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(998)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1002)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1003)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1005)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1006)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1014)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1016)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1018)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1019)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1025)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1033)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1038)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1044)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1045)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1046)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1055)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1056)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1058)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1067)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1069)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1075)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1088)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1091)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1111)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1124)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1131)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1144)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1145)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1146)), {C=0.0008257638315441784, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1148)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1152)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1162)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1163)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1169)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1175)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1199)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1208)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1210)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1216)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1220)), {C=0.0008257638315441784, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1222)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1236)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1251)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1254)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1275)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1280)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1284)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1288)), {C=0.0009289843104872007, S=0.0008754012255617158}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1295)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1297)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1298)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1300)), {C=0.0008257638315441784, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1301)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1311)), {C=0.0008257638315441784, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1325)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1326)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1339)), {C=0.0008257638315441784, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1346)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1348)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1354)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1358)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1360)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1363)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1365)), {C=0.0008257638315441784, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1366)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1380)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1383)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1387)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1394)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1395)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1405)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1411)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1413)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1422)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1426)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1443)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1445)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1450)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1451)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1454)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1455)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1456)), {C=0.0009289843104872007, S=0.0008754012255617158}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1457)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1459)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1460)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1472)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1477)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1482)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1489)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1490)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1492)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1493)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1501)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1526)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1528)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1531)), {C=0.0008257638315441784, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1538)), {C=0.0009289843104872007, S=0.0008754012255617158}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1539)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1543)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1553)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1554)), {C=0.0009289843104872007, S=0.0008754012255617158}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(1557)), {C=0.0005161023947151115, S=0.00048633401420095323}
