(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(2)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(329)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(330)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(331)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(334)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(335)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(336)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(339)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(340)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(344)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(345)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(348)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(349)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(350)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(351)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(352)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(354)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(355)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(356)), {C=0.0013472549680026945, S=0.0011672016340822876}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(357)), {C=0.0012349837206691368, S=0.001069934831242097}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(359)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(361)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(362)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(363)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(364)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(366)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(367)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(368)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(370)), {C=0.0012349837206691368, S=0.001069934831242097}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(371)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(372)), {C=0.0013472549680026945, S=0.0011672016340822876}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(373)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(374)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(375)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(377)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(378)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(379)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(380)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(381)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(382)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(383)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(384)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(387)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(388)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(389)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(390)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(391)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(392)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(393)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(394)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(395)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(396)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(397)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(399)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(400)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(402)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(403)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(404)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(406)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(407)), {C=0.0013472549680026945, S=0.0011672016340822876}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(408)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(409)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(410)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(412)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(413)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(414)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(415)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(416)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(417)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(418)), {C=0.0012349837206691368, S=0.001069934831242097}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(419)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(420)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(421)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(422)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(423)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(424)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(426)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(427)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(428)), {C=0.0012349837206691368, S=0.001069934831242097}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(429)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(430)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(431)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(432)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(433)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(434)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(437)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(438)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(439)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(441)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(443)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(444)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(445)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(446)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(447)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(448)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(449)), {C=0.0012349837206691368, S=0.001069934831242097}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(450)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(451)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(452)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(453)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(454)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(455)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(456)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(457)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(458)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(459)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(460)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(461)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(462)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(463)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(464)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(465)), {C=0.0012349837206691368, S=0.001069934831242097}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(466)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(467)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(469)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(472)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(473)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(475)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(476)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(478)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(479)), {C=0.0012349837206691368, S=0.001069934831242097}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(480)), {C=0.0013472549680026945, S=0.0011672016340822876}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(481)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(484)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(485)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(488)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(489)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(490)), {C=0.0014595262153362526, S=0.0012644684369224784}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(493)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(494)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(495)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(496)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(497)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(498)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(499)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(501)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(504)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(505)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(507)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(508)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(510)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(511)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(512)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(513)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(515)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(516)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(518)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(519)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(521)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(522)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(523)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(524)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(525)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(526)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(527)), {C=0.0012349837206691368, S=0.001069934831242097}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(528)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(529)), {C=0.001908611204670484, S=0.001653535648283241}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(530)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(533)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(534)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(535)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(536)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(537)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(539)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(540)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(541)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(542)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(543)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(544)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(545)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(546)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(547)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(548)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(549)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(550)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(552)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(555)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(559)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(560)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(561)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(562)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(563)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(564)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(566)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(567)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(568)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(569)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(572)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(573)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(574)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(575)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(576)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(577)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(578)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(580)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(582)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(583)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(584)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(585)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(588)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(589)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(590)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(592)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(593)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(594)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(595)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(597)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(598)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(599)), {C=0.0015717974626698102, S=0.001361735239762669}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(600)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(601)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(602)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(603)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(607)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(609)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(610)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(612)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(613)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(614)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(615)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(617)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(618)), {C=0.0007858987313349051, S=0.0006808676198813345}
