(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(8)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(903)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(906)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(908)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(910)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(911)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(912)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(914)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(915)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(924)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(925)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(926)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(927)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(930)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(937)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(938)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(942)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(948)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(953)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(958)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(960)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(965)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(970)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(971)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(972)), {C=0.0011177347242921013, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(980)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(983)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(985)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(986)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(989)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(992)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(996)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(999)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1005)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1009)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1015)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1016)), {C=0.0011177347242921013, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1017)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1019)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1021)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1023)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1028)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1032)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1034)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1036)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1037)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1041)), {C=0.0012419274714356682, S=0.0009726680284019065}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1045)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1047)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1049)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1050)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1051)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1053)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1055)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1059)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1073)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1079)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1082)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1088)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1091)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1092)), {C=0.001366120218579235, S=0.001069934831242097}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1107)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1111)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1114)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1120)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1124)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1127)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1128)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1145)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1147)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1149)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1152)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1154)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1157)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1158)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1164)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1171)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1172)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1186)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1187)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1195)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1198)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1209)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1210)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1211)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1212)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1219)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1230)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1232)), {C=0.0012419274714356682, S=0.0009726680284019065}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1239)), {C=0.0011177347242921013, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1256)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1259)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1263)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1266)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1268)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1275)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1276)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1290)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1292)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1297)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1305)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1311)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1312)), {C=0.0011177347242921013, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1313)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1316)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1329)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1330)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1333)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1342)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1349)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1352)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1359)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1361)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1363)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1367)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1373)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1374)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1376)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1377)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1379)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1382)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1385)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1386)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1388)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1390)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1398)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1413)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1416)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1417)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1418)), {C=0.0011177347242921013, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1421)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1425)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1426)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1428)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1435)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1438)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1441)), {C=0.001366120218579235, S=0.001069934831242097}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1447)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1448)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1453)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1465)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1468)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1470)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1471)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1477)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1478)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1479)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1487)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1491)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1494)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1497)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1498)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1501)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1502)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1504)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1511)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1523)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1525)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1533)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1535)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1536)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1541)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1547)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1554)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(1556)), {C=0.0006209637357178341, S=0.00048633401420095323}
