(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(2)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(306)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(307)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(308)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(309)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(310)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(311)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(312)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(314)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(315)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(316)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(317)), {C=0.0015107814860596072, S=0.001069934831242097}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(318)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(319)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(320)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(321)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(322)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(324)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(325)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(326)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(327)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(328)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(329)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(331)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(332)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(333)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(334)), {C=0.0015107814860596072, S=0.001069934831242097}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(335)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(336)), {C=0.0016481252575195713, S=0.0011672016340822876}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(337)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(340)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(341)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(342)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(343)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(344)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(346)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(348)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(349)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(350)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(351)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(353)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(354)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(355)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(356)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(358)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(360)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(363)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(364)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(365)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(366)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(369)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(370)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(371)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(372)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(373)), {C=0.0015107814860596072, S=0.001069934831242097}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(374)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(375)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(376)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(378)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(379)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(380)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(381)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(382)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(383)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(384)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(385)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(387)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(388)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(389)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(390)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(392)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(393)), {C=0.0015107814860596072, S=0.001069934831242097}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(394)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(395)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(396)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(397)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(399)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(400)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(403)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(404)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(405)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(406)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(407)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(408)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(410)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(411)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(412)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(413)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(414)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(415)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(417)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(422)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(423)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(424)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(426)), {C=0.0017854690289795356, S=0.0012644684369224784}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(427)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(428)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(430)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(432)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(433)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(434)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(435)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(437)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(438)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(439)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(440)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(441)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(444)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(445)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(446)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(447)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(448)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(451)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(452)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(453)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(454)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(455)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(456)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(457)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(458)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(460)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(461)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(462)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(463)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(464)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(465)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(466)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(467)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(468)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(469)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(470)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(472)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(473)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(474)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(475)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(476)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(477)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(478)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(480)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(481)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(482)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(483)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(484)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(486)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(487)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(489)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(492)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(493)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(495)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(497)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(499)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(500)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(502)), {C=0.0016481252575195713, S=0.0011672016340822876}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(503)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(504)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(505)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(506)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(507)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(509)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(510)), {C=0.0015107814860596072, S=0.001069934831242097}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(511)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(512)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(513)), {C=0.0015107814860596072, S=0.001069934831242097}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(514)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(515)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(516)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(517)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(518)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(519)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(521)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(522)), {C=0.0015107814860596072, S=0.001069934831242097}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(524)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(525)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(526)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(527)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(528)), {C=0.0017854690289795356, S=0.0012644684369224784}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(529)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(530)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(532)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(533)), {C=0.0015107814860596072, S=0.001069934831242097}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(534)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(535)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(536)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(537)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(538)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(539)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(540)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(541)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(542)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(543)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(544)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(546)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(547)), {C=0.0015107814860596072, S=0.001069934831242097}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(549)), {C=0.0019228128004394997, S=0.001361735239762669}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(550)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(551)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(552)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(553)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(554)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(555)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(556)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(558)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(559)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(563)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(564)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(565)), {C=0.0008240626287597856, S=0.0005836008170411438}
