(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(2)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(503)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(505)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(506)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(513)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(514)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(516)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(517)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(518)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(528)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(529)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(530)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(532)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(534)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(535)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(536)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(538)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(539)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(540)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(542)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(543)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(544)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(547)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(548)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(550)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(551)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(553)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(554)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(563)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(564)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(566)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(567)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(569)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(571)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(572)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(575)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(584)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(585)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(586)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(587)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(590)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(591)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(592)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(593)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(595)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(596)), {C=0.0012295081967213114, S=0.0011672016340822876}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(599)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(600)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(603)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(605)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(606)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(608)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(609)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(622)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(623)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(624)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(626)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(627)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(628)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(629)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(630)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(633)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(636)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(637)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(638)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(639)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(641)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(642)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(643)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(645)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(646)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(647)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(650)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(658)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(660)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(663)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(664)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(666)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(668)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(672)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(673)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(674)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(677)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(680)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(681)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(682)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(688)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(689)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(691)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(697)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(703)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(706)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(710)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(712)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(716)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(718)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(719)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(720)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(721)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(722)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(727)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(730)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(734)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(735)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(737)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(740)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(746)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(751)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(755)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(757)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(759)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(760)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(766)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(770)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(773)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(774)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(776)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(778)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(780)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(782)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(784)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(786)), {C=0.0010245901639344263, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(788)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(789)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(793)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(795)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(799)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(800)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(805)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(807)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(809)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(813)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(814)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(816)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(817)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(819)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(825)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(826)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(827)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(830)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(836)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(837)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(841)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(846)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(847)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(851)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(852)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(854)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(855)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(856)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(857)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(859)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(860)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(863)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(865)), {C=0.0010245901639344263, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(866)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(870)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(874)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(875)), {C=0.0010245901639344263, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(876)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(877)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(878)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(880)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(882)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(883)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(886)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(888)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(892)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(893)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(895)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(902)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(903)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(904)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(908)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(909)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(912)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(913)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(914)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(915)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(919)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(923)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(927)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(928)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(931)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(933)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(936)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(938)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(940)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(942)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(945)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(946)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(947)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(948)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(949)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(950)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(951)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(952)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(953)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(958)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(961)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(962)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(966)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(967)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(969)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(971)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(974)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(975)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(976)), {C=0.001127049180327869, S=0.001069934831242097}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(978)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(980)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(982)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(984)), {C=0.0006147540983606557, S=0.0005836008170411438}
