(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(10)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(639)), {C=0.0010298661174047376, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(642)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(643)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(647)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(649)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(652)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(653)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(661)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(662)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(669)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(671)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(675)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(676)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(683)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(688)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(690)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(696)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(700)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(702)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(704)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(708)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(711)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(712)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(713)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(721)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(726)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(728)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(738)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(739)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(742)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(747)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(749)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(751)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(754)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(755)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(756)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(763)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(765)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(776)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(784)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(786)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(789)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(791)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(793)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(796)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(800)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(807)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(808)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(813)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(819)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(820)), {C=0.0009268795056642637, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(821)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(823)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(827)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(828)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(831)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(832)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(833)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(835)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(841)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(842)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(843)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(844)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(845)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(847)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(850)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(853)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(854)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(858)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(860)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(863)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(865)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(868)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(871)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(873)), {C=0.0009268795056642637, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(882)), {C=0.0010298661174047376, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(883)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(884)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(885)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(887)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(893)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(897)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(900)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(901)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(902)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(903)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(904)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(905)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(906)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(910)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(915)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(925)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(928)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(933)), {C=0.0010298661174047376, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(934)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(936)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(937)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(938)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(939)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(943)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(944)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(948)), {C=0.0009268795056642637, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(949)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(951)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(952)), {C=0.0009268795056642637, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(955)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(956)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(958)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(960)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(962)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(964)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(965)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(970)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(971)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(975)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(980)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(984)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(987)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(988)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(991)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(994)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(995)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(996)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(997)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(999)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1001)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1003)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1008)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1012)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1021)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1028)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1030)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1032)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1033)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1036)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1039)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1042)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1043)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1044)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1046)), {C=0.0009268795056642637, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1048)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1050)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1058)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1067)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1069)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1070)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1078)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1079)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1082)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1085)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1086)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1087)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1091)), {C=0.0009268795056642637, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1100)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1109)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1110)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1113)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1116)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1120)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1121)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1124)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1125)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1128)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1131)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1137)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1145)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1148)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1151)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1157)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1159)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1162)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1163)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1165)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1171)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1173)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1177)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1188)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1189)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1191)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1194)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1195)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1198)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1206)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1209)), {C=0.0009268795056642637, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1216)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1220)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1221)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1222)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1224)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1227)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1228)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1232)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1236)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1248)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1268)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1273)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1277)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1284)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1287)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1288)), {C=0.00082389289392379, S=0.0007781344227215252}
