(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(2)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(557)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(559)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(560)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(561)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(562)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(563)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(567)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(568)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(569)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(572)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(574)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(588)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(589)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(590)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(594)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(597)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(599)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(602)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(605)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(615)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(616)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(618)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(623)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(624)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(625)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(629)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(630)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(631)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(634)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(636)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(644)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(647)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(650)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(654)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(657)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(658)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(659)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(661)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(663)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(664)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(667)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(668)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(673)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(678)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(679)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(682)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(683)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(689)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(691)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(692)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(697)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(704)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(705)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(707)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(712)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(716)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(717)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(723)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(724)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(730)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(733)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(740)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(747)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(750)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(751)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(752)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(753)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(759)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(766)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(767)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(768)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(771)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(773)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(774)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(777)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(779)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(781)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(782)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(783)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(785)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(786)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(787)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(788)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(790)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(791)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(794)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(796)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(797)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(802)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(807)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(812)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(813)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(814)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(817)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(818)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(820)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(825)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(828)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(837)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(839)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(840)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(844)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(845)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(849)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(850)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(851)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(854)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(855)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(856)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(861)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(862)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(865)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(866)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(867)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(869)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(872)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(877)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(882)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(884)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(885)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(888)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(893)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(895)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(896)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(899)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(900)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(902)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(903)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(905)), {C=0.0012310217480508822, S=0.0011672016340822876}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(906)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(909)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(911)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(912)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(913)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(917)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(921)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(922)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(923)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(925)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(926)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(930)), {C=0.0010258514567090685, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(934)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(936)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(937)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(938)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(939)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(940)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(944)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(947)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(948)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(950)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(952)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(954)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(955)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(956)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(957)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(958)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(961)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(965)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(967)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(968)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(970)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(975)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(977)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(978)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(983)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(988)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(990)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(991)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(995)), {C=0.0010258514567090685, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(996)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(997)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(998)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1000)), {C=0.0011284366023799754, S=0.001069934831242097}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1001)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1004)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1006)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1009)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1010)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1013)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1021)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1026)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1027)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1031)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1038)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1040)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1041)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1043)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1044)), {C=0.0010258514567090685, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1047)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1056)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1064)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1066)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1072)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1073)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1077)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1084)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1090)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1096)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1104)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1108)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1113)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1115)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1117)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1128)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1129)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1133)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1134)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1136)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1137)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1138)), {C=0.0005129257283545343, S=0.00048633401420095323}
