(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(5)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(675)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(677)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(679)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(683)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(685)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(690)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(691)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(692)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(693)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(696)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(701)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(706)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(714)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(716)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(724)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(725)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(729)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(732)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(737)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(739)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(745)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(762)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(767)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(769)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(771)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(778)), {C=0.0009230769230769231, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(779)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(782)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(789)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(800)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(802)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(808)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(810)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(813)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(815)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(816)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(825)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(830)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(835)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(837)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(838)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(842)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(845)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(847)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(848)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(849)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(855)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(860)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(863)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(869)), {C=0.0009230769230769231, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(871)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(876)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(879)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(883)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(885)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(888)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(891)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(892)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(893)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(895)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(897)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(900)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(903)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(907)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(908)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(909)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(911)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(912)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(914)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(915)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(917)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(923)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(924)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(927)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(928)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(929)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(931)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(932)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(936)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(938)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(939)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(942)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(943)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(945)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(948)), {C=0.0011282051282051281, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(950)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(952)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(953)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(955)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(959)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(960)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(964)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(967)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(968)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(970)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(971)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(972)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(975)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(976)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(977)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(984)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(987)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(991)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(992)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(996)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(999)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1011)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1018)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1020)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1021)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1023)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1029)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1032)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1037)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1041)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1044)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1050)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1054)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1055)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1065)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1074)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1075)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1077)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1082)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1083)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1086)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1088)), {C=0.0011282051282051281, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1091)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1092)), {C=0.0009230769230769231, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1118)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1123)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1124)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1125)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1126)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1129)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1130)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1136)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1140)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1143)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1145)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1147)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1155)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1162)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1164)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1166)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1171)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1172)), {C=0.0009230769230769231, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1176)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1182)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1187)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1192)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1193)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1198)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1199)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1211)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1212)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1213)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1218)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1221)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1222)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1224)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1229)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1230)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1232)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1249)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1251)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1256)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1261)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1265)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1273)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1275)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1278)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1280)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1286)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1288)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1297)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1298)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1299)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1310)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1311)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1312)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1313)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1319)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1329)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1335)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1342)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1344)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1347)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1351)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1352)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1354)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1355)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1359)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1367)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1368)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1373)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1376)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1377)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1379)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(1380)), {C=0.0005128205128205128, S=0.00048633401420095323}
