(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(2)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(525)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(527)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(529)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(535)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(539)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(540)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(541)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(543)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(544)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(546)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(547)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(548)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(549)), {C=0.0011235955056179776, S=0.001069934831242097}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(551)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(552)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(553)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(559)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(560)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(562)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(565)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(566)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(568)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(569)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(571)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(574)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(575)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(576)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(577)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(578)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(580)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(584)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(585)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(590)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(593)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(594)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(597)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(600)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(604)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(606)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(607)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(609)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(612)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(621)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(622)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(623)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(624)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(627)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(628)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(630)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(631)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(632)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(634)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(635)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(640)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(643)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(644)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(647)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(651)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(652)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(653)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(654)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(655)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(656)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(660)), {C=0.0010214504596527069, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(664)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(670)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(671)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(677)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(679)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(680)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(681)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(686)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(691)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(692)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(693)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(699)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(710)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(718)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(725)), {C=0.0011235955056179776, S=0.001069934831242097}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(726)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(730)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(731)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(732)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(733)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(737)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(738)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(751)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(752)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(755)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(758)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(759)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(760)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(762)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(763)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(764)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(766)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(767)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(769)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(772)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(776)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(777)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(778)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(780)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(787)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(792)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(795)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(799)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(804)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(807)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(808)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(810)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(813)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(815)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(817)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(818)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(821)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(822)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(826)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(831)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(832)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(834)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(836)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(837)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(838)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(839)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(840)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(842)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(851)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(852)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(854)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(855)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(857)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(858)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(860)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(862)), {C=0.0011235955056179776, S=0.001069934831242097}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(865)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(869)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(871)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(872)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(873)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(875)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(878)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(881)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(884)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(887)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(891)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(895)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(899)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(903)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(904)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(905)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(906)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(907)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(911)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(913)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(914)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(920)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(921)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(922)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(925)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(928)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(932)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(933)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(934)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(935)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(941)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(943)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(944)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(946)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(948)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(949)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(953)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(955)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(957)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(960)), {C=0.0011235955056179776, S=0.001069934831242097}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(966)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(968)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(969)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(971)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(972)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(976)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(978)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(979)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(980)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(982)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(983)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(986)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(990)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(994)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(995)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(999)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1000)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1001)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1002)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1005)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1007)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1009)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1012)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1013)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1015)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1017)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1018)), {C=0.0011235955056179776, S=0.001069934831242097}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1019)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1020)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1024)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1028)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1031)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1036)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1037)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1039)), {C=0.0006128702757916241, S=0.0005836008170411438}
