(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(10)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(812)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(813)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(816)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(817)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(818)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(820)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(822)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(823)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(828)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(832)), {C=0.0011284366023799754, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(836)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(837)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(838)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(839)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(840)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(848)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(854)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(855)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(857)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(863)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(869)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(871)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(886)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(887)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(889)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(892)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(894)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(897)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(900)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(902)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(908)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(909)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(914)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(917)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(927)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(930)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(931)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(933)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(935)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(937)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(940)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(947)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(948)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(952)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(954)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(956)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(958)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(962)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(963)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(964)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(966)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(975)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(976)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(984)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(985)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(988)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(998)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1006)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1007)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1017)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1019)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1020)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1024)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1027)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1030)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1031)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1033)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1036)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1043)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1044)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1045)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1047)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1050)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1058)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1061)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1063)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1064)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1066)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1067)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1072)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1079)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1080)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1083)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1091)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1093)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1095)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1096)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1097)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1099)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1104)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1105)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1107)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1109)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1111)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1112)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1114)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1120)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1121)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1133)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1134)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1135)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1136)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1138)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1139)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1152)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1156)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1161)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1162)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1166)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1169)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1176)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1182)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1183)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1184)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1192)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1196)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1199)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1203)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1207)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1222)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1224)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1226)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1227)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1228)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1235)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1239)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1242)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1243)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1252)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1255)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1256)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1258)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1270)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1271)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1272)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1274)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1284)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1287)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1291)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1301)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1310)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1311)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1322)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1323)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1329)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1334)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1336)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1345)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1347)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1350)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1351)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1357)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1362)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1368)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1369)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1372)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1374)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1378)), {C=0.0010258514567090685, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1379)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1382)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1383)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1384)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1385)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1392)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1398)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1403)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1407)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1409)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1411)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1412)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1413)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1420)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1421)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1428)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1433)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1435)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1438)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1439)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1447)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1448)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1449)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1450)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1454)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1456)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1458)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1463)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1470)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1471)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1479)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1482)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1484)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1490)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1491)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1492)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1496)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1500)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1503)), {C=0.001333606893721789, S=0.0012644684369224784}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1508)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1510)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(1516)), {C=0.0005129257283545343, S=0.00048633401420095323}
