(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(12)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1115)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1118)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1122)), {C=0.000869376222560313, S=0.0007781344227215252}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1124)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1126)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1127)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1134)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1138)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1142)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1149)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1152)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1154)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1157)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1164)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1167)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1174)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1176)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1177)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1190)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1195)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1196)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1211)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1217)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1222)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1226)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1242)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1250)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1251)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1260)), {C=0.000869376222560313, S=0.0007781344227215252}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1265)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1267)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1279)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1280)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1283)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1285)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1293)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1297)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1310)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1311)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1316)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1318)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1320)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1322)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1335)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1337)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1343)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1355)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1358)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1360)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1361)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1362)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1365)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1366)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1370)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1374)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1377)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1380)), {C=0.000869376222560313, S=0.0007781344227215252}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1382)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1387)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1400)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1406)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1408)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1410)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1418)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1421)), {C=0.0010867202782003913, S=0.0009726680284019065}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1422)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1423)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1438)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1439)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1440)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1441)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1444)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1445)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1446)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1447)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1452)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1453)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1457)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1462)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1464)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1485)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1492)), {C=0.000869376222560313, S=0.0007781344227215252}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1495)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1499)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1500)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1501)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1506)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1516)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1523)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1527)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1531)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1533)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1534)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1538)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1539)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1540)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1545)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1547)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1550)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1551)), {C=0.0005433601391001957, S=0.00048633401420095323}
