(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(2)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(398)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(399)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(400)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(401)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(402)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(403)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(404)), {C=0.0016731734523145567, S=0.0014590020426028597}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(405)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(406)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(408)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(410)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(412)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(414)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(415)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(416)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(417)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(418)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(420)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(421)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(423)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(425)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(426)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(427)), {C=0.001226993865030675, S=0.001069934831242097}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(428)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(429)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(430)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(431)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(432)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(433)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(435)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(436)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(437)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(438)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(439)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(440)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(441)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(443)), {C=0.001226993865030675, S=0.001069934831242097}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(444)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(447)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(450)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(451)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(452)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(454)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(455)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(459)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(460)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(461)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(463)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(466)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(467)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(468)), {C=0.0013385387618516451, S=0.0011672016340822876}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(469)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(470)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(472)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(473)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(475)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(476)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(477)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(478)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(480)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(482)), {C=0.001226993865030675, S=0.001069934831242097}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(483)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(484)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(485)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(486)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(487)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(488)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(489)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(491)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(492)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(493)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(498)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(499)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(500)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(501)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(502)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(505)), {C=0.001226993865030675, S=0.001069934831242097}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(506)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(507)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(508)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(510)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(512)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(514)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(515)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(519)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(520)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(521)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(522)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(523)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(524)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(525)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(527)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(528)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(529)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(530)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(532)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(535)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(536)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(538)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(540)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(541)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(542)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(544)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(548)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(549)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(550)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(551)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(552)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(553)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(555)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(556)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(560)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(561)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(563)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(565)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(566)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(567)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(568)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(571)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(573)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(574)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(576)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(577)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(578)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(579)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(581)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(582)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(583)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(586)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(587)), {C=0.001226993865030675, S=0.001069934831242097}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(588)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(590)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(591)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(592)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(593)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(594)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(598)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(600)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(603)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(605)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(606)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(608)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(609)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(610)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(611)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(613)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(614)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(615)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(617)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(619)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(622)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(623)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(624)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(625)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(626)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(627)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(629)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(630)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(631)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(633)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(634)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(636)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(638)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(639)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(640)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(641)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(643)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(644)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(645)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(647)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(648)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(649)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(650)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(653)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(656)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(658)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(660)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(661)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(662)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(663)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(664)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(666)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(667)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(668)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(669)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(670)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(671)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(674)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(675)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(677)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(683)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(686)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(687)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(688)), {C=0.001226993865030675, S=0.001069934831242097}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(689)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(690)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(691)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(692)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(694)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(696)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(697)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(698)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(701)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(702)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(704)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(705)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(706)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(707)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(708)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(709)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(710)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(711)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(712)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(713)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(714)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(716)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(719)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(722)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(723)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(729)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(731)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(733)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(737)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(739)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(741)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(742)), {C=0.0006692693809258226, S=0.0005836008170411438}
