(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(525)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(526)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(527)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(528)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(529)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(533)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(536)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(539)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(544)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(548)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(553)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(554)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(556)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(559)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(561)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(562)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(563)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(564)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(567)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(572)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(573)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(574)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(575)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(576)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(578)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(580)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(581)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(583)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(587)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(589)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(591)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(592)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(594)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(595)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(596)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(599)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(600)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(603)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(604)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(605)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(609)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(610)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(612)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(613)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(616)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(620)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(621)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(622)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(624)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(626)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(636)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(637)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(640)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(642)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(644)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(645)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(649)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(651)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(652)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(655)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(656)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(660)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(668)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(669)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(674)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(678)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(680)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(683)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(684)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(685)), {C=0.0009204336265084885, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(688)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(692)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(693)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(695)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(712)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(717)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(718)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(721)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(723)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(724)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(725)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(726)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(728)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(729)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(731)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(733)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(734)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(735)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(744)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(747)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(749)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(751)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(755)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(757)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(759)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(763)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(769)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(773)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(778)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(779)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(784)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(785)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(788)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(790)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(791)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(796)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(797)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(800)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(801)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(805)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(806)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(807)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(808)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(809)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(810)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(811)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(812)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(814)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(819)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(822)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(823)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(825)), {C=0.0014317856412354264, S=0.001361735239762669}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(829)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(830)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(833)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(834)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(836)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(838)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(842)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(844)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(847)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(848)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(849)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(850)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(851)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(852)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(859)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(860)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(861)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(862)), {C=0.0010227040294538761, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(864)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(865)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(868)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(871)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(872)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(873)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(874)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(876)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(880)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(881)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(883)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(885)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(888)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(889)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(890)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(892)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(895)), {C=0.0009204336265084885, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(896)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(899)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(900)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(901)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(902)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(903)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(908)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(909)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(911)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(916)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(917)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(918)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(921)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(922)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(924)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(926)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(927)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(928)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(929)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(933)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(938)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(939)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(941)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(943)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(946)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(950)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(951)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(952)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(953)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(957)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(959)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(961)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(964)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(965)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(966)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(968)), {C=0.0010227040294538761, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(970)), {C=0.0009204336265084885, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(971)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(972)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(974)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(976)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(980)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(982)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(983)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(985)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(993)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(995)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(996)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(998)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1002)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1003)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1004)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1005)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(1007)), {C=0.0005113520147269381, S=0.00048633401420095323}
