(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(6)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(576)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(578)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(581)), {C=0.0010225994477962982, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(582)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(583)), {C=0.0010225994477962982, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(584)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(585)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(587)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(588)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(589)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(590)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(593)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(594)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(595)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(597)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(606)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(609)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(611)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(612)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(613)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(614)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(617)), {C=0.001124859392575928, S=0.001069934831242097}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(620)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(622)), {C=0.0009203395030166684, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(626)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(627)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(628)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(629)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(630)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(631)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(632)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(633)), {C=0.0010225994477962982, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(634)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(635)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(638)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(639)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(641)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(643)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(645)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(648)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(650)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(651)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(674)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(676)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(681)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(682)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(687)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(688)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(692)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(695)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(698)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(699)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(700)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(705)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(707)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(711)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(717)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(718)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(719)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(730)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(732)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(733)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(735)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(738)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(743)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(745)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(748)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(750)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(759)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(761)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(763)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(764)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(768)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(769)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(772)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(776)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(777)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(780)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(781)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(782)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(791)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(797)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(800)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(802)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(803)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(805)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(812)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(813)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(816)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(822)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(823)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(824)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(826)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(827)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(828)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(829)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(830)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(832)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(835)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(836)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(841)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(844)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(845)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(846)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(848)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(852)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(854)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(855)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(858)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(861)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(862)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(870)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(872)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(873)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(876)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(879)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(882)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(884)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(890)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(893)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(894)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(896)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(899)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(901)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(902)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(903)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(904)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(905)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(906)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(907)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(908)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(909)), {C=0.0009203395030166684, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(910)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(913)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(914)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(915)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(916)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(919)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(921)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(922)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(924)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(927)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(931)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(935)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(936)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(939)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(940)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(941)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(944)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(946)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(947)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(948)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(949)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(951)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(952)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(956)), {C=0.0010225994477962982, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(957)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(959)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(960)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(964)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(965)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(966)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(967)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(968)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(969)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(971)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(973)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(974)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(976)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(977)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(979)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(983)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(984)), {C=0.001124859392575928, S=0.001069934831242097}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(985)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(988)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(993)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(994)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(995)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(996)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(998)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(999)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1003)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1004)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1005)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1008)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1010)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1016)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1020)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1022)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1023)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1026)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1030)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1032)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1034)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1035)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1040)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1042)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1050)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1052)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1054)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1057)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1058)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1059)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1062)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1063)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1064)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1065)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1066)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1068)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(1070)), {C=0.0006135596686777788, S=0.0005836008170411438}
