(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(2)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(768)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(770)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(772)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(774)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(777)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(791)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(792)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(797)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(799)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(801)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(804)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(810)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(812)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(814)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(823)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(830)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(831)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(834)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(836)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(839)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(840)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(843)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(849)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(850)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(854)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(858)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(861)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(867)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(873)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(875)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(878)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(882)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(883)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(884)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(894)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(896)), {C=0.001024485196188915, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(897)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(900)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(903)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(904)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(905)), {C=0.0009220366765700236, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(910)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(912)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(917)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(920)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(921)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(922)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(924)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(925)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(926)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(928)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(934)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(938)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(942)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(946)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(947)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(951)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(952)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(956)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(959)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(964)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(982)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(984)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(987)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(988)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(989)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(990)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(992)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(994)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(996)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(997)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1001)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1002)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1003)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1006)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1007)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1011)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1014)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1015)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1018)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1024)), {C=0.0009220366765700236, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1026)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1028)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1036)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1041)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1047)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1048)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1053)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1057)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1060)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1061)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1063)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1068)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1072)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1083)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1084)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1086)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1089)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1092)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1093)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1100)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1105)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1106)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1107)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1109)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1112)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1114)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1117)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1121)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1123)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1127)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1128)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1135)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1138)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1140)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1150)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1151)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1153)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1157)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1161)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1162)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1164)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1165)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1172)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1179)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1183)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1193)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1197)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1200)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1206)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1211)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1215)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1217)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1218)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1221)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1222)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1229)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1232)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1235)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1239)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1244)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1246)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1247)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1249)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1250)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1255)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1256)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1258)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1259)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1260)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1261)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1262)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1264)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1266)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1269)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1271)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1277)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1278)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1287)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1289)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1290)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1297)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1299)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1302)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1303)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1305)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1308)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1315)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1322)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1325)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1326)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1333)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1334)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1336)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1339)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1342)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1344)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1349)), {C=0.0009220366765700236, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1352)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1353)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1361)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1362)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1367)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1372)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1387)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1390)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1391)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1392)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1394)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1397)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1398)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1399)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1401)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1402)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1403)), {C=0.0009220366765700236, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1405)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1409)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1411)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1412)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1415)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1416)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1419)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1421)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1424)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1428)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1430)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1432)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1434)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(1435)), {C=0.0005122425980944575, S=0.00048633401420095323}
