(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(6)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(644)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(654)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(656)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(662)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(663)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(673)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(678)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(682)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(685)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(689)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(690)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(691)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(703)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(705)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(706)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(723)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(725)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(728)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(739)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(746)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(748)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(749)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(750)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(756)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(762)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(763)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(764)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(768)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(769)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(772)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(773)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(775)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(778)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(780)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(784)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(786)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(787)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(788)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(793)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(794)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(798)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(800)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(801)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(805)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(806)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(807)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(808)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(813)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(814)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(816)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(819)), {C=0.0010298661174047376, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(820)), {C=0.0010298661174047376, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(821)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(822)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(824)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(826)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(829)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(830)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(831)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(834)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(841)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(842)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(843)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(844)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(845)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(847)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(849)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(850)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(852)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(855)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(856)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(860)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(862)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(863)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(865)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(866)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(868)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(869)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(875)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(879)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(881)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(882)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(883)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(884)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(885)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(887)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(891)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(892)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(893)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(894)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(895)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(897)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(898)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(904)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(905)), {C=0.0012358393408856848, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(907)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(908)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(909)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(910)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(911)), {C=0.0010298661174047376, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(912)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(914)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(916)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(918)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(920)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(921)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(923)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(925)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(926)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(927)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(929)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(933)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(935)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(936)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(937)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(939)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(950)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(951)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(952)), {C=0.0010298661174047376, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(954)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(956)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(959)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(960)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(961)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(964)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(965)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(966)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(968)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(970)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(971)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(974)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(975)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(976)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(978)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(979)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(988)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(993)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(996)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(997)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1002)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1003)), {C=0.0010298661174047376, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1005)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1013)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1016)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1021)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1024)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1033)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1036)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1038)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1040)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1046)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1048)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1050)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1055)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1056)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1058)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1059)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1066)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1067)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1069)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1074)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1078)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1079)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1080)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1088)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1091)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1095)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1120)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1121)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1124)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1131)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1134)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1137)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1138)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1144)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1148)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1152)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1153)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1159)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1160)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1161)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1162)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1163)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1165)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1166)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1170)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1175)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1185)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1186)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1189)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1191)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1196)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1197)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1198)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(1199)), {C=0.0005149330587023688, S=0.00048633401420095323}
