(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(2)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1471)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1473)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1488)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1496)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1504)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1517)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1523)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1525)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1526)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1527)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1546)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1549)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1553)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1556)), {C=0.0005150922015040693, S=0.00048633401420095323}
