(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(109)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(368)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(383)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(389)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(390)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(393)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(413)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(442)), {C=0.0007023881196066625, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0007023881196066625, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(478)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(480)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(483)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(489)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(497)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(511)), {C=0.0007023881196066625, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(541)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.0008027292795504716, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(551)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(555)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(559)), {C=0.0007023881196066625, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0007023881196066625, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(609)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(673)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(681)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(683)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(781)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(836)), {C=0.0008027292795504716, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0007023881196066625, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(879)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(910)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(913)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(915)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(938)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(983)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(996)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1022)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1053)), {C=0.0007023881196066625, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1059)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1063)), {C=0.0007023881196066625, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1076)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1092)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1093)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1124)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1138)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1165)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1175)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1190)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1235)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1239)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1266)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1267)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1285)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1287)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1309)), {C=0.0009030704394942806, S=0.0008754012255617158}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1358)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1369)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1381)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1431)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1432)), {C=0.0007023881196066625, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0007023881196066625, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1447)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1486)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1491)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(1533)), {C=0.0005017057997190448, S=0.00048633401420095323}
