(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0008467400508044031, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(668)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(681)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(689)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(692)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(712)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(785)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(822)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(825)), {C=0.0007408975444538526, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(837)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(838)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(852)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(859)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(862)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(865)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(872)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(882)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(900)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(903)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(915)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(930)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(991)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1009)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1031)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1044)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1084)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1104)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1198)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1212)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1224)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1230)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1254)), {C=0.0007408975444538526, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1275)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1282)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1295)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1349)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1364)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1376)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1387)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1398)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1406)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1410)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1420)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1467)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1500)), {C=0.0006350550381033022, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1518)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1528)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1542)), {C=0.0005292125317527519, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(S)) --> (buy(1554)), {C=0.0005292125317527519, S=0.00048633401420095323}
