(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(2)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(712)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(717)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(723)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(725)), {C=0.001226993865030675, S=0.001069934831242097}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(731)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(733)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(734)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(739)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(743)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(746)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(752)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(761)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(762)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(765)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(769)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(773)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(775)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(784)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(786)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(788)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(791)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(800)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(802)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(805)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(806)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(807)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(808)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(814)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(815)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(816)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(819)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(820)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(825)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(826)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(827)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(828)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(831)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(834)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(838)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(841)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(844)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(846)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(849)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(850)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(855)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(856)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(863)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(865)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(866)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(869)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(874)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(877)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(879)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(882)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(883)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(884)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(887)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(891)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(893)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(894)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(895)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(896)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(898)), {C=0.0011154489682097045, S=0.0009726680284019065}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(904)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(905)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(906)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(909)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(911)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(912)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(914)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(915)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(920)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(921)), {C=0.0011154489682097045, S=0.0009726680284019065}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(925)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(926)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(927)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(929)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(933)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(934)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(936)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(938)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(939)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(940)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(943)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(944)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(948)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(950)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(952)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(955)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(956)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(957)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(960)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(964)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(965)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(966)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(970)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(971)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(972)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(974)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(975)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(978)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(979)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(982)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(983)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(984)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(985)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(988)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(989)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(991)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(995)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(996)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(999)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1000)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1002)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1003)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1005)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1011)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1020)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1028)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1030)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1034)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1038)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1039)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1042)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1043)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1047)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1055)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1056)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1057)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1061)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1063)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1069)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1072)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1075)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1078)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1079)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1084)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1085)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1088)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1095)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1096)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1123)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1126)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1127)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1131)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1134)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1137)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1139)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1156)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1164)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1165)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1166)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1170)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1182)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1184)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1185)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1186)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1188)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1191)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1195)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1196)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1198)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1203)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1208)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1210)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1211)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1213)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1216)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1217)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1222)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1227)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1230)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1231)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1233)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1234)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1235)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1236)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1243)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1245)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1246)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1247)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1249)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1250)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1254)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1255)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1257)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1260)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1262)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1267)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1270)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1271)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1272)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1275)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1276)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1278)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1282)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1283)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1287)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1288)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1289)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1293)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1296)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1297)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1298)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1299)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1300)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1301)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1304)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1308)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1311)), {C=0.000780814277746793, S=0.0006808676198813345}
