(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(13)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(970)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(972)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(975)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(978)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(982)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(983)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(990)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(993)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1000)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1009)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1022)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1034)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1038)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1044)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1049)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1059)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1068)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1082)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1091)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1101)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1104)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1113)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1117)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1129)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1133)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1146)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1150)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1152)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1160)), {C=0.0008967604528640287, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1163)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1165)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1179)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1188)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1191)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1193)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1198)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1204)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1206)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1207)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1211)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1213)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1217)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1219)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1226)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1228)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1230)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1231)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1234)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1243)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1251)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1254)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1262)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1269)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1276)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1295)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1311)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1312)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1316)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1317)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1322)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1323)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1326)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1332)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1336)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1339)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1349)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1351)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1357)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1358)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1366)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1376)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1378)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1389)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1392)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1394)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1405)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1417)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1420)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1423)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1435)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1444)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1446)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1447)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1448)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1453)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1466)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1467)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1468)), {C=0.0008967604528640287, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1469)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1472)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1477)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1487)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1503)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1506)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1518)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1527)), {C=0.0008967604528640287, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1529)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1533)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1535)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1547)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1548)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1555)), {C=0.0006725703396480215, S=0.0005836008170411438}
