(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(4)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(775)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(780)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(795)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(799)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(801)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(814)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(826)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(829)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(831)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(847)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(857)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(860)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(862)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(863)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(872)), {C=0.0009010168618869867, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(875)), {C=0.0011584502509975544, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(880)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(883)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(892)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(895)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(896)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(897)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(901)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(903)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(909)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(913)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(925)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(931)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(936)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(945)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(949)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(966)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(967)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(972)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(975)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(976)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(978)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(980)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(985)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(986)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(989)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(992)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1006)), {C=0.0009010168618869867, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1007)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1015)), {C=0.0010297335564422706, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1018)), {C=0.001415883640108122, S=0.001069934831242097}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1019)), {C=0.0010297335564422706, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1029)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1036)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1042)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1045)), {C=0.0011584502509975544, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1049)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1059)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1064)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1067)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1070)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1091)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1096)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1122)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1127)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1129)), {C=0.0010297335564422706, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1135)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1141)), {C=0.0009010168618869867, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1146)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1147)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1150)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1152)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1154)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1158)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1161)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1162)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1171)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1173)), {C=0.0009010168618869867, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1182)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1199)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1200)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1202)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1213)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1222)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1228)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1236)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1237)), {C=0.0009010168618869867, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1249)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1257)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1268)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1277)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1292)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1296)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1305)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1308)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1319)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1320)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1322)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1327)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1328)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1331)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1336)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1339)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1344)), {C=0.0009010168618869867, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1347)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1350)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1351)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1352)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1355)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1363)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1369)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1376)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1380)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1388)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1389)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1392)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1394)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1396)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1398)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1399)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1401)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1406)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0011584502509975544, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1415)), {C=0.0009010168618869867, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1417)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1419)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1420)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1422)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1425)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1435)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1440)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1448)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1453)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1455)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1456)), {C=0.0011584502509975544, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1457)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1458)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1477)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1485)), {C=0.0009010168618869867, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1490)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1492)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1497)), {C=0.0011584502509975544, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1504)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1511)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1514)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1515)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1518)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1519)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1522)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1523)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1530)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1534)), {C=0.0006435834727764191, S=0.00048633401420095323}
