(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(779)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(781)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(785)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(788)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(790)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(791)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(794)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(797)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(805)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(806)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(807)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(808)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(810)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(811)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(814)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(817)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(825)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(830)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(834)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(836)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(837)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(838)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(842)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(844)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(845)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(848)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(849)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(850)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(851)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(859)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(860)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(861)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(862)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(863)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(864)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(865)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(872)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(877)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(888)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(895)), {C=0.0010698619878035734, S=0.0009726680284019065}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(896)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(899)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(900)), {C=0.0009628757890232161, S=0.0008754012255617158}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(902)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(905)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(908)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(909)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(912)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(914)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(917)), {C=0.0010698619878035734, S=0.0009726680284019065}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(921)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(923)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(925)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(926)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(927)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(929)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(930)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(936)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(937)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(939)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(946)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(948)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(950)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(955)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(957)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(959)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(961)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(965)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(968)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(970)), {C=0.0010698619878035734, S=0.0009726680284019065}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(971)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(983)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(990)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(991)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(995)), {C=0.0011768481865839307, S=0.001069934831242097}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(996)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1000)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1001)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1004)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1005)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1007)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1010)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1011)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1021)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1026)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1027)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1031)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1034)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1038)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1040)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1041)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1048)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1057)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1064)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1071)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1072)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1073)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1077)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1081)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1084)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1087)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1090)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1094)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1095)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1097)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1104)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1107)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1113)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1115)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1117)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1118)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1121)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1129)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1134)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1136)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1143)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1148)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1150)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1154)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1155)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1156)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1159)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1166)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1167)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1171)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1173)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1187)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1188)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1190)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1198)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1199)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1202)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1203)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1204)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1211)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1212)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1215)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1224)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1227)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1230)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1245)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1246)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1248)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1257)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1260)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1265)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1266)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1268)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1274)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1275)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1276)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1281)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1282)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1284)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1288)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1291)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1293)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1295)), {C=0.0009628757890232161, S=0.0008754012255617158}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1296)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1298)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1317)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1318)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1323)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1325)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1326)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1336)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1337)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1339)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1341)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1343)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1344)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1346)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1347)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1350)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1355)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1359)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1360)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1362)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1363)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1365)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1366)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1369)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1372)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1379)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1380)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1381)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1386)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1388)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1390)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1394)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1395)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1398)), {C=0.0010698619878035734, S=0.0009726680284019065}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1401)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1406)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1407)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1410)), {C=0.0010698619878035734, S=0.0009726680284019065}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1413)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1416)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1417)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1420)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1424)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1425)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1426)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1429)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1430)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1432)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1438)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1442)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1443)), {C=0.0009628757890232161, S=0.0008754012255617158}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1445)), {C=0.0009628757890232161, S=0.0008754012255617158}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1453)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1454)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1461)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1463)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1465)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1469)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1471)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1472)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1476)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1489)), {C=0.0009628757890232161, S=0.0008754012255617158}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1497)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1500)), {C=0.001283834385364288, S=0.0011672016340822876}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1502)), {C=0.000641917192682144, S=0.0005836008170411438}
