(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(729)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(733)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(734)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(735)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(739)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(746)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(748)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(752)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(755)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(760)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(761)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(762)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(770)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(782)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(784)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(786)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(793)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(796)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(797)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(799)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(804)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(805)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(807)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(813)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(815)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(816)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(817)), {C=0.000959795243681348, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(820)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(825)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(827)), {C=0.0010664391596459423, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(830)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(832)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(833)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(835)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(836)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(838)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(840)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(845)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(847)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(851)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(853)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(855)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(856)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(859)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(863)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(865)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(866)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(873)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(874)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(877)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(880)), {C=0.0010664391596459423, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(888)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(889)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(893)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(895)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(898)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(899)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(912)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(916)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(920)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(921)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(928)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(930)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(931)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(936)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(939)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(940)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(943)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(946)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(948)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(950)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(952)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(953)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(958)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(961)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(964)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(965)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(967)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(968)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(973)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(974)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(975)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(976)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(982)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(987)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(988)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(991)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(992)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(993)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(994)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(998)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(999)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1006)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1010)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1011)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1012)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1014)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1019)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1023)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1026)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1028)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1031)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1033)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1034)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1046)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1055)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1057)), {C=0.000959795243681348, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1058)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1059)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1061)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1064)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1065)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1068)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1076)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1077)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1080)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1085)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1086)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1090)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1091)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1100)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1102)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1111)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1117)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1123)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1129)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1130)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1132)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1134)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1146)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1148)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1149)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1150)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1154)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1158)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1162)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1169)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1179)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1183)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1187)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1193)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1203)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1206)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1208)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1210)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1213)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1214)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1215)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1217)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1222)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1223)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1227)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1232)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1233)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1234)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1235)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1239)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1243)), {C=0.0010664391596459423, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1249)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1250)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1252)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1254)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1256)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1263)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1270)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1272)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1275)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1276)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1277)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1278)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1282)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1283)), {C=0.000959795243681348, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1287)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1291)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1293)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1294)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1297)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1298)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1302)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1310)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1316)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1317)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1322)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1329)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1332)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1336)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1337)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1338)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1339)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1340)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1345)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1351)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1353)), {C=0.0011730830756105366, S=0.001069934831242097}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1354)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1362)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1363)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1364)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1366)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1369)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1370)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1371)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1373)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1374)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1376)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1380)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1386)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1388)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1393)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1394)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1396)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1400)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1405)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1408)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1411)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1419)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1421)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1423)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1424)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1425)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1426)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1427)), {C=0.000959795243681348, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(1428)), {C=0.0005332195798229711, S=0.00048633401420095323}
