(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(3)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(389)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(390)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(393)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(394)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(395)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(397)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(400)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(402)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(403)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(404)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(405)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(406)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(408)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(410)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(411)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(412)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(413)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(414)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(415)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(417)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(418)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(420)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(421)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(422)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(423)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(425)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0016794625719769671, S=0.001361735239762669}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(427)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(430)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(431)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(433)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(434)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(435)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(436)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(437)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(438)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(439)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(440)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(442)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(444)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(446)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(447)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(448)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(451)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(452)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(453)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(454)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(455)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(460)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(462)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(464)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(465)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(466)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(467)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(469)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(470)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(472)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(473)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(476)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(477)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(480)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(481)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(482)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(483)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(484)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(485)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(486)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(487)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(489)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(492)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(493)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(497)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(498)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(499)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(500)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.001439539347408829, S=0.0011672016340822876}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(503)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(509)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(510)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(511)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(513)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(514)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(515)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(516)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(517)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(519)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(521)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(522)), {C=0.0016794625719769671, S=0.001361735239762669}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(523)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(525)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(526)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(527)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(528)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(529)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(531)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(532)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(533)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(536)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(537)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(538)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(540)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(541)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(543)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(544)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(547)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(549)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(551)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(552)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(553)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(554)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(555)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(556)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(557)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(558)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(562)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(564)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(565)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(566)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(568)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(569)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(570)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(572)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(573)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(574)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(575)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(576)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(577)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(578)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(579)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(580)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(581)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(582)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(583)), {C=0.00131957773512476, S=0.001069934831242097}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(586)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(587)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(588)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(589)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(590)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(592)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0015595009596928982, S=0.0012644684369224784}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(594)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(595)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(597)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(598)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(600)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(604)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(605)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(606)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(607)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(608)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(609)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(611)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(612)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(614)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(617)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(618)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(620)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(622)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(623)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(625)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(626)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(627)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(628)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(630)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(631)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(633)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(634)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(635)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(636)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(637)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(638)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(639)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(641)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(643)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(645)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(648)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(649)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(651)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(656)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(657)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(658)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(659)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(660)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(663)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(664)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(665)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(666)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(668)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(671)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(674)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(675)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(676)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(678)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(681)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(682)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(686)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(687)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(688)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(690)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(692)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(693)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(695)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(696)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(698)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(699)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(703)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(704)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(705)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(706)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(707)), {C=0.001439539347408829, S=0.0011672016340822876}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(708)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(709)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(711)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(712)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(718)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(719)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(725)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(728)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(730)), {C=0.0007197696737044145, S=0.0005836008170411438}
