(member card(Bronze))(education(Partial College)) --> (buy(4)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(952)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(956)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(961)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(969)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(970)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(971)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(972)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(975)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(979)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(981)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(982)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(993)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1002)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1005)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1009)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1011)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1023)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1036)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(1042)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1046)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(1063)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1067)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1071)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1077)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1085)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1088)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1093)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1096)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1106)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1111)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1115)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1122)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1124)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1126)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1127)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1132)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1134)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1144)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(1147)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1148)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1149)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1152)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(1164)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1172)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1174)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1176)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1177)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1185)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1186)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1190)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1196)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(1198)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1207)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1208)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(1209)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1216)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(1218)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1222)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1223)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1228)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1231)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1239)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1243)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1265)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1278)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1279)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1280)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1282)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1283)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1292)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1295)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1297)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(1298)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(1300)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1309)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1311)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1320)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1322)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1330)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1335)), {C=0.0014982520392874982, S=0.0008754012255617158}
(member card(Bronze))(education(Partial College)) --> (buy(1343)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1347)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1353)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(1356)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1358)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1360)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1361)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1362)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1365)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(1366)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1368)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1370)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1374)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1378)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1380)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1382)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1384)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1387)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1394)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1399)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1402)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1404)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1406)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1408)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1421)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(1423)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1425)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1429)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1432)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1437)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1438)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1441)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1443)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1445)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(1446)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1447)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1448)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1453)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1459)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1461)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1464)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1466)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1470)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1471)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1476)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(1481)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1485)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1492)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1495)), {C=0.0014982520392874982, S=0.0008754012255617158}
(member card(Bronze))(education(Partial College)) --> (buy(1498)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1499)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1500)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1501)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1504)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1506)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1508)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1515)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1522)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1523)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1525)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1526)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1527)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1528)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1529)), {C=0.0014982520392874982, S=0.0008754012255617158}
(member card(Bronze))(education(Partial College)) --> (buy(1533)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1534)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(1536)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1538)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(1539)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(1547)), {C=0.000998834692858332, S=0.0005836008170411438}
