(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(7)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(579)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(581)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(587)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(588)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(591)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(592)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(594)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(603)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(605)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(609)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(610)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(614)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(615)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(617)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(622)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(623)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(625)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(626)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(631)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(633)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(634)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(636)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(637)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(639)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(640)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(641)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(643)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(645)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(647)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(648)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(650)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(655)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(656)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(660)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(663)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(666)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(668)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(671)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(677)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(685)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(686)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(688)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(689)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(692)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(693)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(696)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(707)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(709)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(711)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(716)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(717)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(718)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(723)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(729)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(740)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(742)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(746)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(748)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(751)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(763)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(765)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(766)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(768)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(773)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(778)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(786)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(787)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(788)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(790)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(791)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(795)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(797)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(798)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(800)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(803)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(813)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(814)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(816)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(819)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(822)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(823)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(825)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(827)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(830)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(832)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(833)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(834)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(837)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(839)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(840)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(841)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(842)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(843)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(845)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(849)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(850)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(852)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(861)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(866)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(867)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(868)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(869)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(871)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(873)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(876)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(878)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(879)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(882)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(885)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(886)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(888)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(890)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(893)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(897)), {C=0.0013574660633484162, S=0.0011672016340822876}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(908)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(909)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(910)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(911)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(917)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(918)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(924)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(925)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(926)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(931)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(933)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(934)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(935)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(936)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(938)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(941)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(942)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(943)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(944)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(947)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(948)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(950)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(952)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(956)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(958)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(959)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(960)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(962)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(966)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(968)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(971)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(975)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(976)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(981)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(982)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(985)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(986)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(987)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(993)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(994)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(995)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(996)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1006)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1008)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1011)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1012)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1018)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1019)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1020)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1023)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1028)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1031)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1032)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1042)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1044)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1046)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1053)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1054)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1058)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1069)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1073)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1075)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1077)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1078)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1086)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1087)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1096)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1100)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1102)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1104)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1106)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1110)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1112)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1114)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1119)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1120)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1121)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1122)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1124)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1128)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1129)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1130)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1136)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1139)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1145)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1153)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1160)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1161)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1162)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1164)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1166)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1171)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1174)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1175)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1184)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1189)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1198)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1202)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(1204)), {C=0.0006787330316742081, S=0.0005836008170411438}
