(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(12)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1018)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1019)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1023)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1024)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1026)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1029)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1030)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1034)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1036)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1046)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1059)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1061)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1063)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1065)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1068)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1072)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1084)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1086)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1087)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1088)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1089)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1100)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1102)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1103)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1104)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1106)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1109)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1112)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1123)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1125)), {C=0.0008807662666519873, S=0.0007781344227215252}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1126)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1129)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1133)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1134)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1138)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1143)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1148)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1162)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1164)), {C=0.0008807662666519873, S=0.0007781344227215252}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1166)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1175)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1176)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1185)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1190)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1192)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1209)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1215)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1226)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1235)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1245)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1254)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1261)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1264)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1273)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1275)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1277)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1278)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1290)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1291)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1298)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1307)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1308)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1309)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1315)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1319)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1333)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1335)), {C=0.0008807662666519873, S=0.0007781344227215252}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1344)), {C=0.0008807662666519873, S=0.0007781344227215252}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1349)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1352)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1353)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1362)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1368)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1373)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1380)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1381)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1383)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1384)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1391)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1392)), {C=0.0009908620499834858, S=0.0008754012255617158}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1393)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1399)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1403)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1409)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1410)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1411)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1414)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1430)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1432)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1441)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1446)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1452)), {C=0.0008807662666519873, S=0.0007781344227215252}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1454)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1455)), {C=0.0009908620499834858, S=0.0008754012255617158}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1462)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1463)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1465)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1467)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1471)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1473)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1480)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1482)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1485)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1491)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1500)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1502)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1504)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1522)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1536)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1540)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1554)), {C=0.0006605746999889904, S=0.0005836008170411438}
