(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(2)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1064)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1084)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1087)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1092)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1105)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1107)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1118)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1121)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1150)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1151)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1155)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1183)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1184)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1199)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1206)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1211)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1231)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1259)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1266)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1271)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1290)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1293)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1296)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1315)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1325)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1334)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1336)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1338)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1339)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1342)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1343)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1344)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1353)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1361)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1367)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1390)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1398)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1402)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1410)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1415)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1423)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1424)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1432)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1436)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1438)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1442)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1443)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1444)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1452)), {C=0.0008922375334589076, S=0.0008754012255617158}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1454)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1458)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1461)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1463)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1467)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1472)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1473)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1479)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1494)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1495)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1500)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1502)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1525)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1533)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1543)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1546)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1552)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1554)), {C=0.000495687518588282, S=0.00048633401420095323}
