(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(1)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(309)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(310)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(311)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(312)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(315)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(318)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(320)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(322)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(323)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(324)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(325)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(327)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(328)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(329)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(330)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(331)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(332)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(333)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(334)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(337)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(338)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(339)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(340)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(341)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(342)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(343)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(344)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(345)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(346)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(347)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(348)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(349)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(350)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(351)), {C=0.001583889580269261, S=0.001361735239762669}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(352)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(353)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(354)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(355)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(357)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(359)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(360)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(361)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(362)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(363)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(365)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(366)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(368)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(369)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(370)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(371)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(372)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(375)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(376)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(377)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(378)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(379)), {C=0.0014707546102500281, S=0.0012644684369224784}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(380)), {C=0.0013576196402307953, S=0.0011672016340822876}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(381)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(382)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(383)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(384)), {C=0.0014707546102500281, S=0.0012644684369224784}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(385)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(386)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(387)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(388)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(389)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(390)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(391)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(394)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(395)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(396)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(397)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(398)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(399)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(400)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(401)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(403)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(404)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(405)), {C=0.0013576196402307953, S=0.0011672016340822876}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(406)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(407)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(408)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(409)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(410)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(411)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(412)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(413)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(414)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(415)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(416)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(417)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(418)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(419)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(421)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(422)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(423)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(424)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(425)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(426)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(427)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(428)), {C=0.0013576196402307953, S=0.0011672016340822876}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(429)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(431)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(432)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(433)), {C=0.0013576196402307953, S=0.0011672016340822876}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(434)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(435)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(437)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(438)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(439)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(440)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(441)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(442)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(443)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(444)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(445)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(446)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(447)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(451)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(452)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(454)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(455)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(456)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(458)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(459)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(460)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(461)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(462)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(463)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(464)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(465)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(466)), {C=0.0016970245502884941, S=0.0014590020426028597}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(467)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(468)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(469)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(471)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(472)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(473)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(475)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(476)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(477)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(478)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(479)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(480)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(481)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(482)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(483)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(484)), {C=0.0013576196402307953, S=0.0011672016340822876}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(486)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(487)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(488)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(489)), {C=0.0013576196402307953, S=0.0011672016340822876}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(490)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(491)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(492)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(493)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(495)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(496)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(497)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(498)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(499)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(500)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(501)), {C=0.00192329449032696, S=0.001653535648283241}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(502)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(503)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(505)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(506)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(507)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(508)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(509)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(510)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(511)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(514)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(515)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(516)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(517)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(520)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(521)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(522)), {C=0.0014707546102500281, S=0.0012644684369224784}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(523)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(524)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(525)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(526)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(527)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(528)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(529)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(530)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(531)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(532)), {C=0.0014707546102500281, S=0.0012644684369224784}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(534)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(535)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(536)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(539)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(540)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(541)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(542)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(543)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(544)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(545)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(546)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(547)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(548)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(549)), {C=0.0013576196402307953, S=0.0011672016340822876}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(550)), {C=0.0014707546102500281, S=0.0012644684369224784}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(551)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(552)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(553)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(555)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(556)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(557)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(558)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(559)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(560)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(561)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(562)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(563)), {C=0.0013576196402307953, S=0.0011672016340822876}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(564)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(565)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(566)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(567)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(568)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(569)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(570)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(572)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(574)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(576)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(577)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(578)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(580)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(581)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(582)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(583)), {C=0.0010182147301730966, S=0.0008754012255617158}
