(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(2)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(930)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(936)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(937)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(938)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(944)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(945)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(947)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(952)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(956)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(957)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(960)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(961)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(964)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(965)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(966)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(970)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(971)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(975)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(976)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(978)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(979)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(984)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(988)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(989)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(995)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(997)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(998)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1002)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1003)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1004)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1005)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1011)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1016)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1020)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1034)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1038)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1044)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1046)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1047)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1055)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1056)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1057)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1058)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1063)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1069)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1072)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1078)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1079)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1085)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1088)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1091)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1095)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1106)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1111)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1124)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1131)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1134)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1139)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1144)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1152)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1166)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1170)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1175)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1179)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1184)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1186)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1188)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1191)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1197)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1198)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1199)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1203)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1206)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1208)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1210)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1213)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1216)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1217)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1220)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1222)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1230)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1233)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1236)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1243)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1245)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1246)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1247)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1249)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1251)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1257)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1267)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1275)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1276)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1278)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1284)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1287)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1288)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1289)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1295)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1296)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1297)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1298)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1299)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1300)), {C=0.0011784115012962526, S=0.0009726680284019065}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1311)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1325)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1338)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1347)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1354)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1357)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1358)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1359)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1360)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1364)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1365)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1366)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1370)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1377)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1380)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1383)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1384)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1387)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1394)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1395)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1398)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1399)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1401)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1404)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1405)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1411)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1412)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1422)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1426)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1435)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1436)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1438)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1441)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1442)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1443)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1445)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1447)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1454)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1455)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1456)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1459)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1460)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1470)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1489)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1493)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1494)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1496)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1504)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1507)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1510)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1525)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1526)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1527)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1528)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1531)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1538)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1543)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1546)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1553)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1554)), {C=0.0008248880509073767, S=0.0006808676198813345}
