(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(2)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(378)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(379)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(380)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(381)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(382)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(383)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(387)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(388)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(389)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(390)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(391)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(392)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(393)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(394)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(395)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(396)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(397)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(398)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(399)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(400)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(402)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(404)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(406)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(407)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(408)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(410)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(411)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(412)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(413)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(414)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(415)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(416)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(417)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(418)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(419)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(421)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(422)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(423)), {C=0.0012694748990190422, S=0.001069934831242097}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(424)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(426)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(427)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(428)), {C=0.0011540680900173112, S=0.0009726680284019065}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(429)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(430)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(431)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(432)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(433)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(434)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(436)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(437)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(441)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(442)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(443)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(445)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(446)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(447)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(449)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(450)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(451)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(452)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(453)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(454)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(455)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(456)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(457)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(460)), {C=0.0012694748990190422, S=0.001069934831242097}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(461)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(462)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(463)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(464)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(465)), {C=0.0011540680900173112, S=0.0009726680284019065}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(466)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(469)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(471)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(472)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(473)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(475)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(476)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(478)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(479)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(480)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(481)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(482)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(483)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(484)), {C=0.0012694748990190422, S=0.001069934831242097}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(485)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(486)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(487)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(488)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(489)), {C=0.0012694748990190422, S=0.001069934831242097}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(490)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(491)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(493)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(495)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(496)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(498)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(499)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(501)), {C=0.0016156953260242353, S=0.001361735239762669}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(504)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(505)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(507)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(510)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(511)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(513)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(515)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(516)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(518)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(521)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(522)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(525)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(528)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(529)), {C=0.0011540680900173112, S=0.0009726680284019065}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(531)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(534)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(535)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(537)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(539)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(540)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(541)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(542)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(544)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(546)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(547)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(549)), {C=0.0017311021350259665, S=0.0014590020426028597}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(550)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(551)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(552)), {C=0.0013848817080207732, S=0.0011672016340822876}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(557)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(558)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(562)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(564)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(565)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(566)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(567)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(568)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(569)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(570)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(571)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(572)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(573)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(574)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(576)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(577)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(578)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(579)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(580)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(581)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(582)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(583)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(584)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(585)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(586)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(587)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(588)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(589)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(591)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(593)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(594)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(597)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(599)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(600)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(602)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(604)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(605)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(606)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(607)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(610)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(611)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(612)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(617)), {C=0.0011540680900173112, S=0.0009726680284019065}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(621)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(622)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(623)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(624)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(625)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(627)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(628)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(629)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(630)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(631)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(632)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(633)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(634)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(635)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(636)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(639)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(640)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(642)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(643)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(646)), {C=0.0011540680900173112, S=0.0009726680284019065}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(648)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(649)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(653)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(654)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(656)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(659)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(660)), {C=0.0011540680900173112, S=0.0009726680284019065}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(662)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(664)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(666)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(668)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(670)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(671)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(672)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(673)), {C=0.0006924408540103866, S=0.0005836008170411438}
