(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(1)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(294)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(295)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(296)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(297)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(298)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(299)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(300)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(302)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(303)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(304)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(305)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(306)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(307)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(309)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(311)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(312)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(313)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(314)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(315)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(316)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(317)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(318)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(320)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(321)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(322)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(323)), {C=0.0014104372355430183, S=0.0012644684369224784}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(325)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(326)), {C=0.0014104372355430183, S=0.0012644684369224784}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(327)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(328)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(330)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(331)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(333)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(334)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(335)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(336)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(337)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(338)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(339)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(340)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(341)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(342)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(343)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(344)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(345)), {C=0.0015189324075078657, S=0.001361735239762669}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(347)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(349)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(350)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(353)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(354)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(356)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(357)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(358)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(359)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(360)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(362)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(363)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(364)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(365)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(366)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(368)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(369)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(370)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(371)), {C=0.0015189324075078657, S=0.001361735239762669}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(373)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(374)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(375)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(376)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(378)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(379)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(382)), {C=0.0016274275794727134, S=0.0014590020426028597}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(383)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(384)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(385)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(386)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(387)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(388)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(390)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(391)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(392)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(393)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(394)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(395)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(396)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(397)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(398)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(399)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(400)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(402)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(403)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(404)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(405)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(406)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(407)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(408)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(409)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(410)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(411)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(412)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(413)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(414)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(415)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(416)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(417)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(418)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(419)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(420)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(421)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(423)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(425)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(426)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(427)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(428)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(430)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(431)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(432)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(433)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(434)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(435)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(436)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(437)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(438)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(439)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(440)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(441)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(442)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(443)), {C=0.0014104372355430183, S=0.0012644684369224784}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(445)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(446)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(447)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(448)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(450)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(451)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(453)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(454)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(455)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(456)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(457)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(458)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(460)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(461)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(462)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(463)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(464)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(466)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(467)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(468)), {C=0.0014104372355430183, S=0.0012644684369224784}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(469)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(470)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(471)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(472)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(473)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(475)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(476)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(477)), {C=0.0016274275794727134, S=0.0014590020426028597}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(478)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(479)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(480)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(481)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(482)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(484)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(485)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(486)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(488)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(489)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(490)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(491)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(492)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(494)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(495)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(496)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(497)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(498)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(499)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(500)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(501)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(502)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(503)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(504)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(505)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(506)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(507)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(508)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(509)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(510)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(511)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(512)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(514)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(515)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(517)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(518)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(519)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(520)), {C=0.0014104372355430183, S=0.0012644684369224784}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(521)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(522)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(523)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(524)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(525)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(527)), {C=0.001735922751437561, S=0.0015562688454430504}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(528)), {C=0.0014104372355430183, S=0.0012644684369224784}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(530)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(532)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(535)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(536)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(537)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(538)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(539)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(540)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(541)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(542)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(543)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(544)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(547)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(548)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(549)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(550)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(551)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(552)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(553)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(554)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(555)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(556)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(557)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(558)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(559)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(560)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(561)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(563)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(564)), {C=0.0006509710317890853, S=0.0005836008170411438}
