(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(6)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1430)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1432)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1443)), {C=0.0008172438451322913, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1445)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1461)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1469)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1471)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1489)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1500)), {C=0.0009193993257738277, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1502)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1503)), {C=0.0008172438451322913, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1516)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1525)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1533)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1552)), {C=0.0008172438451322913, S=0.0007781344227215252}
