(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(3)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(658)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(668)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(683)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(689)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(692)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(693)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(695)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(696)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(697)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(704)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(705)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(711)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(719)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(723)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(724)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(725)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(726)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(728)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(729)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(745)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(746)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(747)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(751)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(759)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(760)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(763)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(768)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(769)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(773)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(774)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(777)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(788)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(801)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(812)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(813)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(822)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.0011439029970258523, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(839)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(844)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(847)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(849)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(855)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(856)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(858)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(862)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(867)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(868)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(869)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(872)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(874)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0011439029970258523, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(885)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(888)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(890)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(892)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(895)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(900)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(901)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(903)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(905)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(911)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(916)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(922)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(924)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(928)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(930)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(934)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(941)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(951)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(952)), {C=0.0011439029970258523, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(954)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(966)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(968)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(970)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(972)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(975)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(978)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(980)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(982)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(983)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(990)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(993)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(998)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1000)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1001)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1004)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1009)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1013)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1022)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1033)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1034)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1038)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1040)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1043)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1044)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1049)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1059)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1062)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1068)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1074)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1082)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1084)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1091)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1098)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1101)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1104)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1113)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1117)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1123)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1128)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1129)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1133)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1134)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1138)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1146)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1150)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1152)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1155)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1157)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1160)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1163)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1165)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1167)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1171)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1177)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1179)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1182)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1188)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1189)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1191)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1193)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1197)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1198)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1204)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1206)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1207)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1211)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1213)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1217)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1218)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1219)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1224)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1226)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1227)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1228)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1229)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1230)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1231)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1234)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1235)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1243)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1244)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1245)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1250)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1251)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1254)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1262)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1269)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1270)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1271)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1276)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1288)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1290)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1295)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1296)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1305)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1308)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1311)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1312)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1316)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1317)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1322)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1323)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1326)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1332)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1336)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1339)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1344)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1349)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1351)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1357)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1358)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1362)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1366)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1371)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1376)), {C=0.001029512697323267, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1378)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1382)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1383)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1384)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1387)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1389)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1392)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1394)), {C=0.001029512697323267, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1400)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1403)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1405)), {C=0.0008007320979180964, S=0.0006808676198813345}
