(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(4)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1179)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1184)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1187)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1192)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1197)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1198)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1200)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1201)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1204)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1206)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1208)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1212)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1214)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1215)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1222)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1223)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1226)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1227)), {C=0.001036030850696443, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1228)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1234)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1236)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1237)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1239)), {C=0.0011511453896627143, S=0.0009726680284019065}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1249)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1255)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1259)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1265)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1268)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1272)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1274)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1275)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1281)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1286)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1290)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1296)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1297)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1298)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1309)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1319)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1320)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1324)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1328)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1330)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1332)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1336)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1337)), {C=0.0012662599286289858, S=0.001069934831242097}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1339)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1340)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1341)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1345)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1347)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1353)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1356)), {C=0.001036030850696443, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1358)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1360)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1363)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1367)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1368)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1370)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1371)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1372)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1374)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1379)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1380)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1381)), {C=0.001036030850696443, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1383)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1384)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1389)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1392)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1400)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1406)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1411)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1413)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1415)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1416)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1417)), {C=0.001036030850696443, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1419)), {C=0.001036030850696443, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1420)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1425)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1428)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1429)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1431)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1432)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1434)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1436)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1437)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1439)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1442)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1443)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1445)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1446)), {C=0.0011511453896627143, S=0.0009726680284019065}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1447)), {C=0.001036030850696443, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1449)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1452)), {C=0.0012662599286289858, S=0.001069934831242097}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1454)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1455)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1458)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1459)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1460)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1466)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1467)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1469)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1470)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1474)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1475)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1479)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1480)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1483)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1485)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1488)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1491)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1494)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1495)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1497)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1498)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1504)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1505)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1514)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1519)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1521)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1522)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1530)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1534)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1538)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1539)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1550)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1553)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1555)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1556)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(4)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(7)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(8)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(11)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(12)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(16)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(18)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(21)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(22)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(23)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(25)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(27)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(28)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(31)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(32)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(34)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(36)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(47)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(50)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(59)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(61)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(66)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(67)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(69)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(70)), {C=0.0011511453896627143, S=0.0009726680284019065}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(73)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(75)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(76)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(78)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(85)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(89)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(93)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(95)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(100)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(107)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(108)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(109)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(116)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(118)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(119)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(123)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(126)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(128)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(129)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(131)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(141)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(142)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(143)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(160)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(162)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(163)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(169)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(177)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(185)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(193)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(194)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(195)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(199)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(202)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(203)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(213)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(214)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(216)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(222)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(226)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(227)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(233)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(238)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(241)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(242)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(245)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(250)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(253)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(254)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(264)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(265)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(275)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(282)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(283)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(292)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(293)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(299)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(300)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(301)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(303)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(309)), {C=0.0005755726948313572, S=0.00048633401420095323}
