(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(11)), {C=0.001083570364350535, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1296)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1300)), {C=0.0012190166598943521, S=0.0008754012255617158}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1308)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1322)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1326)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1332)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1338)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1339)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1341)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1342)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1344)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1346)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1354)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1360)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1365)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1366)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1376)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1387)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1392)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1394)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1398)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1399)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1401)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1402)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1412)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1425)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1426)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1429)), {C=0.001083570364350535, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1430)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1441)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1442)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1445)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1453)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1454)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1460)), {C=0.001083570364350535, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1467)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1473)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1476)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1495)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1501)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1506)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1525)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1527)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1554)), {C=0.0006772314777190845, S=0.00048633401420095323}
