(house_owner(Y))(marital_status(S)) --> (buy(1)), {C=0.0006683747354350004, S=0.0005836008170411438}
(house_owner(Y))(marital_status(S)) --> (buy(269)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(270)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(271)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(272)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(273)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(274)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(275)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(276)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(277)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(278)), {C=0.002450707363261669, S=0.002139869662484194}
(house_owner(Y))(marital_status(S)) --> (buy(279)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(280)), {C=0.0006683747354350004, S=0.0005836008170411438}
(house_owner(Y))(marital_status(S)) --> (buy(281)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(282)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(283)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(284)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(285)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(286)), {C=0.0005569789461958338, S=0.00048633401420095323}
(house_owner(Y))(marital_status(S)) --> (buy(287)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(288)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(289)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(290)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(291)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(292)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(293)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(295)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(296)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(297)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(298)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(299)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(300)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(301)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(302)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(303)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(304)), {C=0.002227915784783335, S=0.001945336056803813}
(house_owner(Y))(marital_status(S)) --> (buy(305)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(306)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(307)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(308)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(309)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(310)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(311)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(312)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(313)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(314)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(315)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(316)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(317)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(318)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(319)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(321)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(322)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(323)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(324)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(325)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(326)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(327)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(328)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(329)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(330)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(331)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(332)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(333)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(334)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(335)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(336)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(337)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(338)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(339)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(340)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(341)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(342)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(343)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(344)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(345)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(346)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(347)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(348)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(349)), {C=0.0025621031525008353, S=0.0022371364653243847}
(house_owner(Y))(marital_status(S)) --> (buy(350)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(351)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(352)), {C=0.0006683747354350004, S=0.0005836008170411438}
(house_owner(Y))(marital_status(S)) --> (buy(353)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(354)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(355)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(356)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(357)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(358)), {C=0.002339311574022502, S=0.0020426028596440037}
(house_owner(Y))(marital_status(S)) --> (buy(359)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(360)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(361)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(362)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(363)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(364)), {C=0.002227915784783335, S=0.001945336056803813}
(house_owner(Y))(marital_status(S)) --> (buy(365)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(366)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(367)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(368)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(369)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(370)), {C=0.002450707363261669, S=0.002139869662484194}
(house_owner(Y))(marital_status(S)) --> (buy(371)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(372)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(373)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(374)), {C=0.002227915784783335, S=0.001945336056803813}
(house_owner(Y))(marital_status(S)) --> (buy(375)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(376)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(377)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(378)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(379)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(380)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(381)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(382)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(383)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(384)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(385)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(386)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(387)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(388)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(389)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(390)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(391)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(392)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(393)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(394)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(395)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(396)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(397)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(398)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(399)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(400)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(401)), {C=0.0005569789461958338, S=0.00048633401420095323}
(house_owner(Y))(marital_status(S)) --> (buy(402)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(403)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(404)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(405)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(406)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(407)), {C=0.002339311574022502, S=0.0020426028596440037}
(house_owner(Y))(marital_status(S)) --> (buy(408)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(409)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(410)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(411)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(412)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(413)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(414)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(415)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(416)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(417)), {C=0.002673498941740002, S=0.0023344032681645753}
(house_owner(Y))(marital_status(S)) --> (buy(418)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(419)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(420)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(421)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(422)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(423)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(424)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(425)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(426)), {C=0.002227915784783335, S=0.001945336056803813}
(house_owner(Y))(marital_status(S)) --> (buy(427)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(428)), {C=0.002339311574022502, S=0.0020426028596440037}
(house_owner(Y))(marital_status(S)) --> (buy(429)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(430)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(431)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(432)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(433)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(434)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(435)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(436)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(437)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(438)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(439)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(440)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(441)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(442)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(443)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(444)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(445)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(446)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(447)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(448)), {C=0.002227915784783335, S=0.001945336056803813}
(house_owner(Y))(marital_status(S)) --> (buy(449)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(450)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(451)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(452)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(453)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(454)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(455)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(456)), {C=0.002227915784783335, S=0.001945336056803813}
(house_owner(Y))(marital_status(S)) --> (buy(457)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(458)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(459)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(460)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(461)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(462)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(463)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(464)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(465)), {C=0.002784894730979169, S=0.0024316700710047662}
(house_owner(Y))(marital_status(S)) --> (buy(466)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(467)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(468)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(469)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(470)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(471)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(472)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(473)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(474)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(475)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(476)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(477)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(478)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(479)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(480)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(481)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(482)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(483)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(484)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(485)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(486)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(487)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(488)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(489)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(490)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(491)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(492)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(493)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(494)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(495)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(496)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(497)), {C=0.002227915784783335, S=0.001945336056803813}
(house_owner(Y))(marital_status(S)) --> (buy(498)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(499)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(500)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(501)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(502)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(503)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(504)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(505)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(506)), {C=0.002227915784783335, S=0.001945336056803813}
(house_owner(Y))(marital_status(S)) --> (buy(507)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(508)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(509)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(510)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(511)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(512)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(513)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(514)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(515)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(516)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(517)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(518)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(519)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(520)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(521)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(522)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(523)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(524)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(525)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(526)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(527)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(528)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(529)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(530)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(531)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(532)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(533)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(534)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(535)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(536)), {C=0.0017823326278266682, S=0.0015562688454430504}
