(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(3)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(704)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(707)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(712)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(714)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(716)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(725)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(746)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(748)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(749)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(763)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(765)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(769)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(778)), {C=0.001093427287085409, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(782)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(783)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(787)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(788)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(789)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(791)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(800)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(812)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(815)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(816)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(819)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(823)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(829)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(832)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(833)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(834)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(836)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(838)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(839)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(840)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(841)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(842)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(844)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(848)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(850)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(855)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(861)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(869)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(870)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(871)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(878)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(879)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(882)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(886)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(888)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(889)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(891)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(893)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(894)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(895)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(896)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(897)), {C=0.001093427287085409, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(908)), {C=0.0012149192078726766, S=0.0009726680284019065}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(911)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(915)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(916)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(917)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(920)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(925)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(927)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(931)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(932)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(934)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(938)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(947)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(950)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(952)), {C=0.001093427287085409, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(956)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(960)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(965)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(970)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(974)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(975)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(976)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(981)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(982)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(991)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(993)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(996)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1006)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1011)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1017)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1019)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1020)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1021)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1023)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1030)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1039)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1042)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1045)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1047)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1050)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1053)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1058)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1075)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1082)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1086)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1088)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1092)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1102)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1111)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1114)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1119)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1120)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1121)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1123)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1124)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1126)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1128)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1130)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1136)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1139)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1143)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1145)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1147)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1152)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1154)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1161)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1166)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1171)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1172)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1175)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1176)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1182)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1184)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1199)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1208)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1215)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1218)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1223)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1224)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1228)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1230)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1231)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1232)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1235)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1239)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1242)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1243)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1245)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1248)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1252)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1256)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1270)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1272)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1273)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1275)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1278)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1279)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1284)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1291)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1292)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1299)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1311)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1312)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1313)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1316)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1322)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1328)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1329)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1333)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1336)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1339)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1348)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1350)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1368)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1377)), {C=0.001093427287085409, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1378)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1379)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1383)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1388)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1389)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1390)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1392)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1396)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1398)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1403)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1408)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1409)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1411)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1415)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1417)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1418)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1421)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1429)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1435)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1438)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1441)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1443)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1445)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1446)), {C=0.0012149192078726766, S=0.0009726680284019065}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1447)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1448)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1449)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1450)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1453)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1454)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1456)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1464)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1465)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1467)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1470)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1471)), {C=0.0008504434455108735, S=0.0006808676198813345}
