(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(8)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(733)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(741)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(746)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(753)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(756)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(768)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(772)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(780)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(784)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(786)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(788)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(794)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(798)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(800)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(801)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(803)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(804)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(807)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(808)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(812)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(814)), {C=0.001867607387424777, S=0.0008754012255617158}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(816)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(821)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(824)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(827)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(834)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(836)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(839)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(840)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(844)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(849)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(850)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(852)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(854)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(855)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(856)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(861)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(862)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(866)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(868)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(872)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(875)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(877)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(883)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(886)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(887)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(888)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(892)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(893)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(895)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(898)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(900)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(903)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(905)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(909)), {C=0.001867607387424777, S=0.0008754012255617158}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(910)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(911)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(912)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(915)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(916)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(918)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(921)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(922)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(925)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(926)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(927)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(929)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(933)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(934)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(935)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(936)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(937)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(941)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(943)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(944)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(945)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(948)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(952)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(956)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(957)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(959)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(960)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(965)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(966)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(968)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(971)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(972)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(975)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(976)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(977)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(978)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(979)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(989)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(993)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(996)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(997)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1002)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1003)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1006)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1007)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1013)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1018)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1020)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1022)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1024)), {C=0.002075119319360863, S=0.0009726680284019065}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1025)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1028)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1036)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1037)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1044)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1045)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1046)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1055)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1056)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1057)), {C=0.001867607387424777, S=0.0008754012255617158}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1058)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1059)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1060)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1061)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1063)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1066)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1067)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1068)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1071)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1075)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1079)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1080)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1085)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1088)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1094)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1100)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1107)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1111)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1112)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1123)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1127)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1128)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1131)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1132)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1134)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1145)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1148)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1152)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1153)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1156)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1157)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1160)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1161)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1165)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1166)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1171)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1179)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1182)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1183)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1184)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1186)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1190)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1191)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1193)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1197)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1198)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1203)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1206)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1208)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1210)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1218)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1222)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1230)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1233)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1243)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1246)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1247)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1249)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1251)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1253)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1254)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1258)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1262)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1267)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1276)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1278)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1283)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1287)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1288)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1289)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1291)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1293)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1294)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1295)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1296)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1300)), {C=0.002075119319360863, S=0.0009726680284019065}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1301)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1308)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1311)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1322)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1326)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1331)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1332)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1334)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1336)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1338)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1339)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1341)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1342)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1343)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1344)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1346)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1348)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1351)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1354)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1357)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1360)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1365)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1366)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1368)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1371)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1372)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1376)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1377)), {C=0.0016600954554886907, S=0.0007781344227215252}
