(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(2)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(278)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(279)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(281)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(283)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(287)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(289)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(291)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(292)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(293)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(295)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(296)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(298)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(301)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(302)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(304)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(306)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(307)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(309)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(310)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(311)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(312)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(313)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(314)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(315)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(317)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(318)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(320)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(321)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(322)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(327)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(328)), {C=0.0013774104683195593, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(329)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(330)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(331)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(332)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(333)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(334)), {C=0.0010595465140919686, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(335)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(336)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(338)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(339)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(341)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(343)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(344)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(345)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(347)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(349)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(351)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(353)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(354)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(355)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(356)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(357)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(358)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(359)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(360)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(361)), {C=0.0012714558169103622, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(363)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(365)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(366)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(367)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(368)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(370)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(371)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(372)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(373)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(374)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(375)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(378)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(379)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(380)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(381)), {C=0.0012714558169103622, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(382)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(383)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(384)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(386)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(387)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(388)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(389)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(390)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(391)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(392)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(393)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(394)), {C=0.0013774104683195593, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(395)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(396)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(397)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(398)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(399)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(400)), {C=0.0010595465140919686, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(401)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(402)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(403)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(404)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(405)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(407)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(409)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(410)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(411)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(412)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(413)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(414)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(415)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(416)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(417)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(418)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(419)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(421)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(423)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(424)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(425)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(426)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(427)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(428)), {C=0.0010595465140919686, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(429)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(430)), {C=0.0010595465140919686, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(431)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(432)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(433)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(434)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(435)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(437)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(438)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(439)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(440)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(441)), {C=0.0013774104683195593, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(443)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(445)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(446)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(447)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(448)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(449)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(451)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(454)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(455)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(456)), {C=0.001589319771137953, S=0.0014590020426028597}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(457)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(459)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(460)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(461)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(462)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(463)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(464)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(465)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(466)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(468)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(469)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(471)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(472)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(473)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(475)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(476)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(477)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(478)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(479)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(480)), {C=0.0010595465140919686, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(482)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(483)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(484)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(485)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(486)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(487)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(489)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(490)), {C=0.001589319771137953, S=0.0014590020426028597}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(491)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(494)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(495)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(496)), {C=0.0010595465140919686, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(497)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(499)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(501)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(503)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(504)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(505)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(507)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(509)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(510)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(511)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(512)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(513)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(515)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(516)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(517)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(518)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(521)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(522)), {C=0.0013774104683195593, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(523)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(524)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(525)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(526)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(527)), {C=0.000847637211273575, S=0.0007781344227215252}
