(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(17)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(867)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(882)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(916)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(917)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(924)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(929)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(967)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(976)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1011)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1012)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1160)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1204)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1207)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1275)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1358)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1364)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1366)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1391)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1407)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1415)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1467)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1500)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1525)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1527)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1537)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1538)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1554)), {C=0.0007972362476747275, S=0.0005836008170411438}
