(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(56)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1339)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1349)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1357)), {C=0.0010536020018438036, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1363)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1381)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1400)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1404)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1429)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1431)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1498)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1526)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1528)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1533)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1547)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1558)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(56)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(67)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(96)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(108)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(212)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(225)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(244)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(274)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(289)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(307)), {C=0.001185302252074279, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(333)), {C=0.000921901751613328, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(343)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(347)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(353)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(368)), {C=0.0010536020018438036, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(384)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(390)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(399)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(400)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(413)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(424)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(425)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(427)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(432)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(441)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(442)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(443)), {C=0.00144870275253523, S=0.001069934831242097}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(448)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(456)), {C=0.000921901751613328, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(463)), {C=0.000921901751613328, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(465)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(480)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(483)), {C=0.001185302252074279, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(497)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(529)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(546)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(568)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(581)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(585)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(599)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(608)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(619)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(632)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(638)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(642)), {C=0.000921901751613328, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(643)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(654)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(660)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(667)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(670)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(681)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(699)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(725)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(759)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(760)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(778)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(785)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(814)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(834)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(836)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(837)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(841)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(865)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(872)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(877)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(938)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(954)), {C=0.000921901751613328, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(969)), {C=0.000921901751613328, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(998)), {C=0.000921901751613328, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1005)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1019)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1026)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1053)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1059)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1063)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1084)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1093)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1098)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1101)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1104)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1115)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1177)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1203)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1224)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1254)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1265)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1299)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1302)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1309)), {C=0.000921901751613328, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1314)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1339)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1349)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1357)), {C=0.0010536020018438036, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1363)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1381)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1400)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1404)), {C=0.0007902015013828526, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1429)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1431)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1498)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1526)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1528)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1533)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1547)), {C=0.0006585012511523772, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1558)), {C=0.0006585012511523772, S=0.00048633401420095323}
