(member card(Silver)) --> (buy(2)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(668)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(669)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(670)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(672)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(674)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(676)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(679)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(683)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(684)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(688)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(691)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(692)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(696)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(700)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(701)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(703)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(706)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(708)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(709)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(710)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(712)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(713)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(720)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(721)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(723)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(724)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(725)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(726)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(727)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(729)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(733)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(744)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(745)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(747)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(750)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(758)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(759)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(761)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(763)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(765)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(766)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(767)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(770)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(771)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(772)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(775)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(776)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(779)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(783)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(784)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(786)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(787)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(790)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(791)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(793)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(795)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(796)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(798)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(799)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(800)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(804)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(807)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(809)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(810)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(811)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(813)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(814)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(817)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(818)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(819)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(821)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(822)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(824)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(825)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(826)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(832)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(833)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(834)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(836)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(837)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(840)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(842)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(844)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(847)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(848)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(850)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(852)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(853)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(854)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(855)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(856)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(857)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(858)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(859)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(860)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(861)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(863)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(864)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(866)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(867)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(869)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(870)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(871)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(872)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(873)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(874)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(876)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(879)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(882)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(883)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(884)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(885)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(887)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(889)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(890)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(892)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(896)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(897)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(899)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(900)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(902)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(903)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(904)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(905)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(906)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(907)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(908)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(910)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(912)), {C=0.011458333333333334, S=0.001069934831242097}
(member card(Silver)) --> (buy(914)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(915)), {C=0.011458333333333334, S=0.001069934831242097}
(member card(Silver)) --> (buy(916)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(917)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(919)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(923)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(924)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(925)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(928)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(929)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(930)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(933)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(934)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(935)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(937)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(938)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(941)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(942)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(943)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(944)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(948)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(949)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(951)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(953)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(954)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(955)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(956)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(958)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(960)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(961)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(963)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(964)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(965)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(967)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(969)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(970)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(972)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(973)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(975)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(977)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(982)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(983)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(984)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(985)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(987)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(988)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(989)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(991)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(995)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(997)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(999)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1004)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1005)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1006)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1007)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1009)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1012)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1013)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1016)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1018)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1021)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1022)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(1024)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1028)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1029)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1031)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1033)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1035)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1037)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1039)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1040)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1041)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1042)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1043)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(1045)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1046)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1047)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1048)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1050)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1052)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1053)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1054)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1055)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1056)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1060)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1065)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1066)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1068)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1070)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1071)), {C=0.011458333333333334, S=0.001069934831242097}
(member card(Silver)) --> (buy(1072)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1074)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1077)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1079)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1081)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1082)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1084)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1085)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1086)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1087)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1089)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1091)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1092)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1093)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1095)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1097)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1101)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1102)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1104)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1105)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1109)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1112)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1115)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1118)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1120)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1121)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1122)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1124)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1126)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1127)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1130)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1131)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1132)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1143)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1144)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1147)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1149)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1150)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1152)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1154)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1156)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1158)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1159)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1160)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1162)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1164)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1166)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1169)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1171)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1172)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(1176)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1179)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1180)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1187)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1188)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1190)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1193)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1197)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1199)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1204)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1206)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(1208)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1209)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1212)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1213)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1214)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1215)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1217)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1219)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1220)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1221)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1222)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1224)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1225)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1229)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1231)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1232)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1233)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1239)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1240)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(1241)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1242)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1243)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1246)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1247)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1249)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1250)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1251)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(1252)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1253)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(1254)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1256)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(1266)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1267)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1272)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1274)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1277)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1279)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(1282)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1283)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(1284)), {C=0.007291666666666666, S=0.0006808676198813345}
