(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(2)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(383)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(384)), {C=0.0008996401439424231, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(386)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(387)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(388)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(391)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(394)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(395)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(396)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(397)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(398)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(400)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(401)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(403)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(404)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(405)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(408)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(410)), {C=0.0008996401439424231, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(415)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(416)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(417)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(418)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(419)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(421)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(424)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(425)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(426)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(428)), {C=0.0009996001599360256, S=0.0009726680284019065}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(431)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(432)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(433)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(434)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(435)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(439)), {C=0.0008996401439424231, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(440)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(441)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0010995601759296281, S=0.001069934831242097}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(445)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(446)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(452)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(456)), {C=0.0009996001599360256, S=0.0009726680284019065}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(458)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(459)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(460)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(461)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(463)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(464)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(465)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(466)), {C=0.0011995201919232307, S=0.0011672016340822876}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(467)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(469)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(471)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(472)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(473)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(476)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(478)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(480)), {C=0.0009996001599360256, S=0.0009726680284019065}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(482)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(483)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(484)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(488)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(489)), {C=0.0008996401439424231, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(490)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(492)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(493)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(495)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(497)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(499)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(500)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(501)), {C=0.0008996401439424231, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(502)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(503)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(505)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(507)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(508)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(509)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(510)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(514)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(516)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(517)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(520)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(521)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(522)), {C=0.0010995601759296281, S=0.001069934831242097}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(523)), {C=0.0008996401439424231, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(524)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(526)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(528)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(529)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(532)), {C=0.0008996401439424231, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(534)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(535)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(541)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(542)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(543)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(544)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(545)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(546)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(547)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(550)), {C=0.0009996001599360256, S=0.0009726680284019065}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(551)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(552)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(553)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(555)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(556)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(557)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(558)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(559)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(560)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(561)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(562)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(563)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(564)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(565)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(567)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(568)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(569)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(572)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(574)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(576)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(581)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(582)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(583)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(588)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(589)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(590)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(592)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(594)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(595)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(596)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(597)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(599)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(601)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(602)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(605)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(606)), {C=0.0008996401439424231, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(608)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(612)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(615)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(617)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(618)), {C=0.0008996401439424231, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(619)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(621)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(623)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(625)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(629)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(633)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(634)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(636)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(637)), {C=0.0008996401439424231, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(638)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(639)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(642)), {C=0.0008996401439424231, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(643)), {C=0.0009996001599360256, S=0.0009726680284019065}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(644)), {C=0.0008996401439424231, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(647)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(649)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(654)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(656)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(657)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(658)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(660)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(661)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(662)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(663)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(666)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(667)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(669)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(670)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(671)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(682)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(683)), {C=0.0011995201919232307, S=0.0011672016340822876}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(686)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(688)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(689)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(691)), {C=0.0008996401439424231, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(693)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(696)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(697)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(702)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(703)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(704)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(705)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(708)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(709)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(710)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(711)), {C=0.0007996801279488206, S=0.0007781344227215252}
