(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(6)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(816)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(818)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(819)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(821)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(822)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(823)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(826)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(827)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(833)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(834)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(841)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(842)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(845)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(848)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(852)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(861)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(862)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(872)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(877)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(879)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(884)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(892)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(895)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(897)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(898)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(899)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(904)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(905)), {C=0.0009857612267250822, S=0.0008754012255617158}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(906)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(909)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(910)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(915)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(922)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(923)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(925)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(928)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(929)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(933)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(934)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(935)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(938)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(941)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(943)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(946)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(947)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(948)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(951)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(952)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(956)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(957)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(959)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(960)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(961)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(965)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(967)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(969)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(975)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(976)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(977)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(978)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(979)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(984)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(985)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(987)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(989)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(993)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(995)), {C=0.0009857612267250822, S=0.0008754012255617158}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1004)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1005)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1006)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1007)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1008)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1012)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1017)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1018)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1021)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1024)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1025)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1032)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1037)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1039)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1043)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1044)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1046)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1056)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1060)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1063)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1065)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1066)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1069)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1070)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1078)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1083)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1084)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1086)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1088)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1092)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1099)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1100)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1101)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1103)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1104)), {C=0.001095290251916758, S=0.0009726680284019065}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1108)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1118)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1120)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1122)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1126)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1134)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1138)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1139)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1143)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1148)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1149)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1150)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1155)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1160)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1162)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1167)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1171)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1172)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1175)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1178)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1185)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1197)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1199)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1200)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1203)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1204)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1205)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1206)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1213)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1214)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1218)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1222)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1224)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1225)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1232)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1237)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1240)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1241)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1243)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1245)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1247)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1252)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1255)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1259)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1260)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1265)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1281)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1289)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1294)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1302)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1308)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1314)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1316)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1319)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1320)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1322)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1325)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1327)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1331)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1332)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1333)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1336)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1337)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1343)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1351)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1354)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1355)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1357)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1361)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1362)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1364)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1372)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1373)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1376)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1377)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1379)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1380)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1381)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1383)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1388)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1389)), {C=0.001095290251916758, S=0.0009726680284019065}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1392)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1398)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1401)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1402)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1404)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1410)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1413)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1414)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1418)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1424)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1426)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1427)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1430)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1431)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1433)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1435)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1436)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1437)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1439)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1443)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1445)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1448)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1450)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1452)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1453)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1454)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1460)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1466)), {C=0.0009857612267250822, S=0.0008754012255617158}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1471)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1472)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1476)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1477)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1486)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1489)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1490)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1495)), {C=0.0006571741511500548, S=0.0005836008170411438}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1498)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1499)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1501)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1504)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1505)), {C=0.0008762322015334064, S=0.0007781344227215252}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1508)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1516)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1517)), {C=0.0007667031763417305, S=0.0006808676198813345}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1519)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1522)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1525)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1526)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1528)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1531)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1533)), {C=0.000547645125958379, S=0.00048633401420095323}
(gender(Male))(house_owner(N))(marital_status(M)) --> (buy(1534)), {C=0.000547645125958379, S=0.00048633401420095323}
