(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(3)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(709)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(712)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(714)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(715)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(716)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(722)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(723)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(725)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(732)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(737)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(745)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(748)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(763)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(767)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(769)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(777)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(778)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(782)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(786)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(787)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(789)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(791)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(797)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(800)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(806)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(812)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(815)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(816)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(817)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(819)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(822)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(823)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(824)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(825)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(832)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(836)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(838)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(840)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(842)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(844)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(848)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(850)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(855)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(867)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(869)), {C=0.001504438092372499, S=0.0009726680284019065}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(871)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(879)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(882)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(886)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(888)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(889)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(891)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(892)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(893)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(894)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(895)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(897)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(898)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(900)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(907)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(908)), {C=0.001504438092372499, S=0.0009726680284019065}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(911)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(915)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(917)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(925)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(926)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(927)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(928)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(930)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(932)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(934)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(937)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(938)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(941)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(942)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(948)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(950)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(952)), {C=0.001504438092372499, S=0.0009726680284019065}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(956)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(960)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(963)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(965)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(966)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(968)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(969)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(970)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(971)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(972)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(974)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(975)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(976)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(977)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(993)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(996)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(997)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1006)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1007)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1011)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1012)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1017)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1019)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1020)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1021)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1022)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1023)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1030)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1031)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1032)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1042)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1045)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1047)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1049)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1050)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1073)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1075)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1077)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1082)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1088)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1092)), {C=0.0016548819016097489, S=0.001069934831242097}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1093)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1114)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1121)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1122)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1123)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1124)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1126)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1129)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1130)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1136)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1139)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1145)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1147)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1161)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1166)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1171)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1172)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1176)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1182)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1184)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1187)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1192)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1195)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1198)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1215)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1218)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1219)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1221)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1223)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1224)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1226)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1228)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1232)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1235)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1239)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1242)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1252)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1255)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1256)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1265)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1270)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1272)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1273)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1278)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1288)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1291)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1292)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1293)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1295)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1299)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1310)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1311)), {C=0.0012035504738979992, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1312)), {C=0.001353994283135249, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1313)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1319)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1322)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1328)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1329)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1330)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1331)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1336)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1339)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1344)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1349)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1350)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1352)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1365)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1368)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1377)), {C=0.001353994283135249, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1378)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1379)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1389)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1390)), {C=0.0010531066646607492, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1392)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1403)), {C=0.001504438092372499, S=0.0009726680284019065}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1408)), {C=0.0007522190461862495, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1409)), {C=0.0009026628554234992, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1411)), {C=0.0010531066646607492, S=0.0006808676198813345}
