(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(5)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(511)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(513)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(514)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(524)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(526)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(527)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(530)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(535)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(536)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(537)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(539)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(540)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(542)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(545)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(551)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(554)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(562)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(563)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(565)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(568)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(569)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(571)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(573)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(576)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(579)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(584)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(588)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(592)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(593)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(602)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(603)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(609)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(611)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(613)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(615)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(616)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(618)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(620)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(622)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(623)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(627)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(628)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(629)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(630)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(631)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(632)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(633)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(634)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(636)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(638)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(639)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(643)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(645)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(647)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(648)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(651)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(652)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(656)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(658)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(659)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(660)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(662)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(671)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(679)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(682)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(689)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(690)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(692)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(703)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(705)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(706)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(712)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(717)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(718)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(721)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(723)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(726)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(730)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(731)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(740)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(744)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(745)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(747)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(748)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(751)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(752)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(755)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(759)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(760)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(761)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(765)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(769)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(770)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(771)), {C=0.001001001001001001, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(775)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(778)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(780)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(781)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(782)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(785)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(786)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(787)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(788)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(789)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(790)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(791)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(794)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(797)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(807)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(808)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(812)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(818)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(821)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(822)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(825)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(826)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(827)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(828)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(830)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(831)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(835)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(836)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(837)), {C=0.001001001001001001, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(838)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(841)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(843)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(844)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(848)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(849)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(850)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(851)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(854)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(855)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(860)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(861)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(865)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(868)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(874)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(877)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(879)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(880)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(881)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(882)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(883)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(884)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(885)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(887)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(888)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(891)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(892)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(893)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(894)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(895)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(900)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(902)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(903)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(905)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(906)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(908)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(909)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(912)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(914)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(917)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(919)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(921)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(923)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(925)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(926)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(927)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(928)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(929)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(931)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(936)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(937)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(944)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(947)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(948)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(949)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(951)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(952)), {C=0.0009009009009009009, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(955)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(956)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(958)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(961)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(964)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(965)), {C=0.0008008008008008008, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(968)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(971)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(974)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(975)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(979)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(986)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(987)), {C=0.0005005005005005005, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(990)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(991)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(992)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(994)), {C=0.001001001001001001, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(995)), {C=0.001001001001001001, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(996)), {C=0.0007007007007007007, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(997)), {C=0.0006006006006006006, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1000)), {C=0.0005005005005005005, S=0.00048633401420095323}
