(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(6)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(462)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(463)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(464)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(465)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(467)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(469)), {C=0.001115958202292787, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(474)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(477)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(478)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(481)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(482)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(483)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(484)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(486)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(487)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(489)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(490)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(493)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(500)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(502)), {C=0.0012174089479557674, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(503)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(504)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(505)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(507)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(510)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(511)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(513)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(514)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(515)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(517)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(519)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(522)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(523)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(524)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(526)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(527)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(528)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(529)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(530)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(531)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(532)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(536)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(537)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(541)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(543)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(544)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(547)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(549)), {C=0.0012174089479557674, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(556)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(557)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(563)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(564)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(565)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(566)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(568)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(569)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(570)), {C=0.001115958202292787, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(572)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(573)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(574)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(575)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(576)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(577)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(579)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(581)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(583)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(585)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(586)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(587)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(590)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(591)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(592)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(593)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(594)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(597)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(598)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(600)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(601)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(603)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(607)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(608)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(609)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(611)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(617)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(618)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(623)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(625)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(627)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(629)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(630)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(634)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(637)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(638)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(639)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(648)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(651)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(656)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(657)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(659)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(662)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(663)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(664)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(665)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(666)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(668)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(670)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(671)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(674)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(675)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(681)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(682)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(684)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(685)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(686)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(687)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(690)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(692)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(693)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(696)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(697)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(704)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(706)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(707)), {C=0.0010145074566298062, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(708)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(709)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(712)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(714)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(718)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(722)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(725)), {C=0.0010145074566298062, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(727)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(728)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(729)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(731)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(732)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(733)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(735)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(736)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(738)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(739)), {C=0.0010145074566298062, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(748)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(749)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(752)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(759)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(761)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(762)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(763)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(765)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(766)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(774)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(775)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(777)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(779)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(780)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(783)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(784)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(787)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(791)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(795)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(797)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(798)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(800)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(803)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(804)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(805)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(806)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(807)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(812)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(813)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(814)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(815)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(817)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(819)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(820)), {C=0.001115958202292787, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(822)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(823)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(824)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(825)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(827)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(829)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(830)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(831)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(833)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(835)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(839)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(840)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(844)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(845)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(847)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(848)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(850)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(851)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(852)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(853)), {C=0.0010145074566298062, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(855)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(856)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(858)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(859)), {C=0.0008116059653038451, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(863)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(864)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(866)), {C=0.0006087044739778837, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(868)), {C=0.0007101552196408644, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(869)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(873)), {C=0.0009130567109668256, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(874)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(876)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(877)), {C=0.0005072537283149031, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(879)), {C=0.0007101552196408644, S=0.0006808676198813345}
