(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(3)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1022)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1024)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1036)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1046)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1047)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1048)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1049)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1059)), {C=0.0008276432857438445, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1061)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1062)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1068)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1070)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1071)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1074)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1082)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1084)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1086)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1087)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1091)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1099)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1100)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1105)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1119)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1123)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1126)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1135)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1138)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1150)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1151)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1163)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1165)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1173)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1176)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1179)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1185)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1190)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1191)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1195)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1207)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1213)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1217)), {C=0.0008276432857438445, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1218)), {C=0.0008276432857438445, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1219)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1221)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1230)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1232)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1235)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1244)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1251)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1262)), {C=0.0008276432857438445, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1269)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1270)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1276)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1277)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1278)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1285)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1289)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1290)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1301)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1308)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1312)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1314)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1315)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1316)), {C=0.0009310986964618251, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1317)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1319)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1322)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1326)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1331)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1333)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1336)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1339)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1341)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1343)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1346)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1348)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1349)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1352)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1362)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1366)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1375)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1383)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1384)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1388)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1392)), {C=0.0010345541071798056, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1394)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1398)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1399)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1401)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1407)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1409)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1411)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1417)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1420)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1424)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1428)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1431)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1434)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1445)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1451)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1454)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1457)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1465)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1467)), {C=0.0007241878750258639, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1468)), {C=0.0009310986964618251, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1469)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1472)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1473)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1476)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1481)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1485)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1494)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1496)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1502)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1503)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1506)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1521)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1525)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1528)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1533)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1535)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1542)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1547)), {C=0.0005172770535899028, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1548)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1553)), {C=0.0006207324643078833, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(house_owner(N)) --> (buy(1558)), {C=0.0005172770535899028, S=0.00048633401420095323}
