(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(7)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(916)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(924)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(925)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(926)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(929)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(931)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(936)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(938)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(942)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(945)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(946)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(952)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(963)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(964)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(966)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(967)), {C=0.0008259343382201115, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(972)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(973)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(975)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(977)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(980)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(985)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(987)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(991)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(992)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(993)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(995)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1002)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1003)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1006)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1007)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1010)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1015)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1018)), {C=0.0010324179227751394, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1020)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1029)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1030)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1039)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1042)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1045)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1054)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1055)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1059)), {C=0.0008259343382201115, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1060)), {C=0.0008259343382201115, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1064)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1067)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1072)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1083)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1086)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1088)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1089)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1100)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1102)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1103)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1105)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1107)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1123)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1126)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1129)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1133)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1136)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1141)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1143)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1147)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1150)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1152)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1156)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1161)), {C=0.0010324179227751394, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1173)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1209)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1222)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1223)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1240)), {C=0.0008259343382201115, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1245)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1246)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1254)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1262)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1266)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1268)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1279)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1292)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1296)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1298)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1308)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1309)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1319)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1320)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1322)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1344)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1347)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1349)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1357)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1367)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1368)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1373)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1378)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1380)), {C=0.0008259343382201115, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1392)), {C=0.0008259343382201115, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1396)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1407)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1411)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1415)), {C=0.0011356597150526534, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1416)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1417)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1419)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1420)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1423)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1429)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1432)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1438)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1439)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1441)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1448)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1452)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1454)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1455)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1456)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1461)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1462)), {C=0.0007226925459425975, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1463)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1464)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1465)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1470)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1477)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1480)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1482)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1485)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1491)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1494)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1497)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1504)), {C=0.0009291761304976254, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1514)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1519)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1522)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1529)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1530)), {C=0.0005162089613875697, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1541)), {C=0.0006194507536650836, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial High School))(house_owner(N)) --> (buy(1546)), {C=0.0005162089613875697, S=0.00048633401420095323}
